artista,generos,seguidores,popularidade,uri
pedro sampaio,funk|brazilian funk|funk pop|funk carioca|brega funk|brazilian pop,2967263,72,spotify:artist:5wbf52LA6kcaboHSN6NEF1
bad bunny,reggaeton|trap latino|urbano latino|latin,96735136,100,spotify:artist:4q3ewBCX7sLwd24euuV69X
dj guuga,funk|brazilian funk|piseiro|brega funk|arrocha,1092399,72,spotify:artist:1cNPXWhKfjI0fT5EMCnamR
luísa sonza,brazilian pop|funk pop|funk,6560996,77,spotify:artist:4PzYKhC14sTJNEr0dzoo0d
anitta,brazilian pop|funk pop|funk carioca|funk|pagode baiano,13178717,82,spotify:artist:7FNnA9vBm6EKceENgCGRMb
os quatro e meia,nan,181294,52,spotify:artist:4pHDBbJMWvniiMjrhi2rfE
luan santana,sertanejo|sertanejo universitário|arrocha,9302041,78,spotify:artist:3qvcCP2J0fWi0m0uQDUf6r
black eyed peas,nan,9038506,84,spotify:artist:1yxSLGMDHlW21z4YXirZDS
miguel luz,portuguese hip hop,35497,47,spotify:artist:1jE8NLRTyT22UKfZ8AGRDm
daddy yankee,reggaeton|latin,37250520,88,spotify:artist:4VMYDCV2IEDYJArk749S6m
léo santana,pagode baiano|axé|piseiro|pagode|arrocha|brazilian pop|forró|sertanejo,2400168,67,spotify:artist:7KVJCU4z5L4EUHILL8aMxR
ludmilla,pagode|brazilian pop|funk pop|pagode baiano|funk|funk carioca|samba|brazilian funk,8154683,75,spotify:artist:3CDoRporvSjdzTrm99a3gi
dennis,funk|brazilian funk|funk carioca|funk pop|funk melody,2328244,73,spotify:artist:6xlRSRMLgZbsSNd0BMobwy
alex warren,nan,1629190,88,spotify:artist:0fTSzq9jAh4c36UVb4V7CB
gustavo mioto,sertanejo|sertanejo universitário|arrocha|agronejo,6874230,75,spotify:artist:1X6ORK7IekgmyjV6IFPszP
calema,kizomba|zouk,964378,65,spotify:artist:6PIIKavZx20FlVKyIvb4Um
plutonio,portuguese hip hop,753990,66,spotify:artist:39HJXjH5hKcCzaU0g6mv8G
lònis,nan,9219,48,spotify:artist:1pS3ir5bQSBiBYvOBjPWcm
napa,nan,50717,62,spotify:artist:3BR3Qfra04DICDUB2BL3eu
mc pipokinha,funk|brazilian funk|brega funk,518679,57,spotify:artist:7BT8x82CjBZUjJy6xj1G3O
mc kevin o chris,funk|brazilian funk|funk carioca|brega funk,3086739,72,spotify:artist:2UMj7NCbuqy1yUZmiSYGjJ
xutos & pontapés,nan,357025,50,spotify:artist:1lQnDEcvFAWaUjbyZiHKih
mimicat,nan,13226,34,spotify:artist:7tTVBmiE9WeEDQdW3Q0Wn6
meghan trainor,nan,15757256,78,spotify:artist:6JL8zeS1NmiOftqZTRgdTz
nattan,piseiro|forró|sertanejo|arrocha|brega|seresta,3554243,73,spotify:artist:1SXhEXzOTF7YeuQX59m7pT
mc jessica do escadão,funk de bh|funk|brazilian funk,36257,48,spotify:artist:5GL61oWz7b59KKnJfzlgrC
kew,nan,36765,70,spotify:artist:2Ci1Tt7bCEU3OTByr1nc0y
floribella,nan,90757,32,spotify:artist:0m9DkJFHFXq3EUJqfWhqRX
grupo menos é mais,pagode|samba,4966087,82,spotify:artist:6vTqEFbTtTRJsuIpzZgjxi
expensive soul,portuguese hip hop,64009,38,spotify:artist:1VNjh8n6mHSSNQZU4sUVY9
luís trigacheiro,fado,20918,47,spotify:artist:3Q8P5JGiCwBz7IFDoL3HcH
richie campbell,portuguese hip hop,321879,56,spotify:artist:2swvbEAfN70ZFcQB4Y7MaS
henrique & juliano,sertanejo|sertanejo universitário|arrocha|agronejo,27618482,88,spotify:artist:3p7PcrEHaaKLJnPUGOtRlT
banda djavú,tecnobrega|forró|brega|piseiro|calypso|arrocha,187841,55,spotify:artist:4adpoL1QBRZW6jWjRVMB04
mc tuto,funk|funk consciente|brazilian funk|trap funk,2165517,80,spotify:artist:6aoGgTKGqtsjj48ymcNs4Z
sara correia,fado,33596,48,spotify:artist:6CDeCfO2MlVXHhHgpK6HvA
chimbala,dembow,670405,69,spotify:artist:4VVEpEhC8NcR7AqNEds42U
mc wm,funk|brazilian funk|brega funk,2651249,58,spotify:artist:14D0I0RYqvIorkPL2EWoQh
myke towers,reggaeton|trap latino|urbano latino,20364482,89,spotify:artist:7iK8PXO48WeuP03g8YR51W
mc livinho,funk|brazilian funk|funk carioca,7837343,77,spotify:artist:7me0S5Z40qVWj3gzyK8aC3
rauw alejandro,reggaeton|urbano latino|trap latino|latin,29033364,91,spotify:artist:1mcTU81TzQhprhouKaTkpq
badoxa,kizomba|zouk|kuduro,255865,56,spotify:artist:5ZOMkfINXvTF4GqNwHPsfW
mc jacaré,funk|brazilian funk|funk carioca|trap funk,868606,72,spotify:artist:6qrqAYlS6lUj2BVXax7SZW
gabriel nobre,nan,17365,39,spotify:artist:5cxU7RqKDaUfR0HE9exCSG
humanos,fado,36896,37,spotify:artist:2eewU6m9iF2CrwvXbqbnT9
nicky jam,reggaeton|latin,19982244,84,spotify:artist:1SupJlEpv7RS2tPNRaHViT
shakira,latin pop,38280493,89,spotify:artist:0EmeFodog0BfCgMzAIvKQp
virgul,kizomba|portuguese hip hop,59896,46,spotify:artist:0qe3I1MOY8oFj3DuoWNwbq
wisin & yandel,reggaeton|urbano latino,8597787,82,spotify:artist:1wZtkThiXbVNtj6hee6dz9
carolina deslandes,fado,343931,52,spotify:artist:6xolQjWFT24ykWke55u9fU
