musica,artista,album,duracao_min,popularidade,uri
we're on our way,lònis,we're on our way,2.7,50,spotify:track:6AjMgHgz55SectjDOKzO6o
pôr do sol,vizinhos,pôr do sol,2.68,65,spotify:track:2yMTUaAv55qoTD0JPLodIQ
gata - barbie,mc tuto,gata (barbie),3.09,69,spotify:track:4UADn7KrfGSr4KjqMrvGzd
vais ter saudades,mimicat,peito,3.34,28,spotify:track:4oYqPh32P3BWWvs10E6Fpd
oh garota eu quero você só pra mim.,oruam,oh garota eu quero você só pra mim.,2.78,81,spotify:track:0BUkQGUXgcvf3gdCWYbtnJ
bate,dennis,bate,2.3,74,spotify:track:2POQJLngiE5R6RfdLgKkcI
sei que tu me odeia,anitta,ensaios da anitta,2.68,79,spotify:track:77HhVmRv7IxDqkyMxElSrK
i wanna thank me (feat. niecy nash),meghan trainor,timeless,2.39,57,spotify:track:3lrwUibGeLUfMB9mlQiVVV
tando,nuzio medeiros,tando,3.53,73,spotify:track:4seW5sDVICaZw34NzrHPm0
surreal,luísa sonza,escândalo íntimo,3.91,70,spotify:track:1dv8qeBPtLAli7J3xNeTDR
la plena - w sound 05,w sound,la plena (w sound 05),2.5,95,spotify:track:6iOndD4OFo7GkaDypWQIou
resenha do arrocha,j. eskine,resenha do arrocha,5.91,79,spotify:track:0NQyryTVbjGMtWMA1eSqIn
ambiente errado - ao vivo,luan santana,luan city 2.0 (ao vivo),2.41,66,spotify:track:7blC5LzebSn2A64Kn4XXMP
os croquetes acabam,nena,um brinde ao agora,3.62,39,spotify:track:5FX2UDfNjOE47t4c0M86Gq
vais partir,azeituna,azul,3.88,26,spotify:track:2nZEYeWwyuFnGwsrgyVKpc
deslocado,napa,deslocado,3.0,79,spotify:track:31CsSZ9KlQmEu0JvWSkM3j
insomnia,richie campbell,insomnia,3.13,56,spotify:track:2V8ZoOYTqoYN9g4HZiMyng
também,mc th,também,2.03,68,spotify:track:3mR8h8YKamYcrzW6jZhLw3
mãe solteira,j. eskine,mãe solteira,2.4,43,spotify:track:3cUWviu7umxTV5SfK8IkfI
dtmf,bad bunny,debí tirar más fotos,3.95,97,spotify:track:3sK8wGT43QFpWrvNQsrQya
deixa o clima rolar,badoxa,deixa o clima rolar,2.82,59,spotify:track:5Jpa5TYgS6Eqdp3395ZtjG
porsche azul,felipe beats,porsche azul,1.82,72,spotify:track:3xsYqPvotPUjk8vcIPBNTg
meu carro nao tem porta luva - remastered 2024,dj natan 22,meu carro nao tem porta luva (remastered 2024),2.67,80,spotify:track:0vYrfm0eUQyi6fWbYnBiDc
don't cha,the pussycat dolls,pcd,4.53,77,spotify:track:0BxfFnk0YzONqvmrkO0QrB
i lived,onerepublic,native,3.91,80,spotify:track:3IQF4xCQUPicbA4hWfTxPo
imagina,nuno ribeiro,falar de nós,2.73,50,spotify:track:5ue1c7Bk2OoDDYsK1VQrln
motinha 2.0 (mete marcha),dennis,motinha 2.0 (mete marcha),1.97,79,spotify:track:456hxgSVUAJVgPV0UncG68
abusadora,chimbala,abusadora,2.09,69,spotify:track:0mQJzIQ0abK5OO77GECOtT
viagem,tiago bettencourt,2019 - rumo ao eclipse,4.45,36,spotify:track:1hw9A8sc13UHxZaKoou9Vx
nuevayol,bad bunny,debí tirar más fotos,3.06,94,spotify:track:5TFD2bmFKGhoCRbX61nXY5
me libera,banda djavú,o furacão é show,3.88,61,spotify:track:2Mu8Y7FBKm1pExucSO16Vf
anxiety,doechii,alligator bites never heal (extended),4.16,85,spotify:track:3LPLRNr58Z9Pn0clnEtkXb
perversa,pedro sampaio,astro,2.21,67,spotify:track:3lkv8itXt58NC98Fq0EGEB
rabetão de terremoto,dj cz,rabetão de terremoto,1.78,81,spotify:track:4swtnATsndB7VJVq0n4EQE
pessoas normais,miguel luz,ganga com ganga,3.01,51,spotify:track:3n0xGh2PjRrOOfc8IkpnGb
ensaio das maravilhas,pedro sampaio,ensaio das maravilhas,2.93,62,spotify:track:1V6gIVSrMEJCRyogBnIrNr
acabou,luan alencar,acabou,3.17,27,spotify:track:2Iv5HDzGW8SkGOISBHsUrK
ai coração,mimicat,peito,2.91,32,spotify:track:3nHz7kEaaVs7iap3raVeQl
call it love,picture this,parked car conversations,2.93,56,spotify:track:7ptz82bYaBiCuSD5AkecZQ
escada do prédio,pedro sampaio,astro,2.29,72,spotify:track:4TnEIYOXZ9KBGHOIqG5Xs5
my humps,black eyed peas,monkey business,5.45,80,spotify:track:20jYtEun4dUdYZ9foaOC48
sleeping with the lights on,daniel seavey,second wind,3.75,75,spotify:track:79WmVVG6KbCecp45eyhbfX
senta e cala a boca,cjnobeat,senta e cala a boca,2.39,72,spotify:track:0QfAYccg9XiiTTxKOforDM
born with a broken heart,damiano david,funny little fears,3.48,75,spotify:track:36r085cj95tQcGaOoPLfc5
hoje o dia tá lindo,mc jessica do escadão,hoje o dia tá lindo,2.15,42,spotify:track:1AEKM2Td1fNBAEZ4VaNkkj
"lo que pasó, pasó",daddy yankee,barrio fino (bonus track version),3.52,81,spotify:track:40a82F3K2UTbeoLlXXXZBd
degenere 👑 (feat. benny blanco),myke towers,la pantera negra (deluxe),2.18,80,spotify:track:0qeIFEGRQqHoaJtLCl0U73
momento (uma espécie de céu),pedro abrunhosa,momento,4.67,44,spotify:track:4J0gzNGcRXRQKaN5VUnoTQ
sinceramente,gabriel nobre,sinceramente,2.11,44,spotify:track:38iRJRlvq9wLuAdLeNHQWo
a dona aranha,luísa sonza,escândalo íntimo,2.07,64,spotify:track:181TYnNi3wNGrdsCykmI4A
