artista,generos,seguidores,popularidade,uri
the weeknd,nan,106027618,96,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
niall horan,nan,10233244,74,spotify:artist:1Hsdzj7Dlq2I7tHP7501T4
mystic diversions,lounge,13972,45,spotify:artist:5IxvlwTJDQKlgIJbOPG0IQ
cigarettes after sex,dream pop,15995311,86,spotify:artist:1QAJqy2dA3ihHBFIHRphZj
d.a.m.a,nan,405635,51,spotify:artist:4h5zTnUibCdGWia43hOo5y
umur anil gokdag,nan,17798,61,spotify:artist:6TE5uKxtwtgJ2kcUNRhzJP
everybody loves an outlaw,nan,119836,60,spotify:artist:5RCWMaArEntbkeWYVxCiFW
teddy swims,nan,4850820,87,spotify:artist:33qOK5uJ8AR2xuQQAhHump
tory lanez,nan,7832566,83,spotify:artist:2jku7tDXc6XoB6MO2hFuqg
mna55,afro house,311,50,spotify:artist:0mRB3pdJwKoWURZgvgfwI9
michele morrone,nan,545761,56,spotify:artist:03fLoIOO015incUitpfkad
harry styles,nan,33749949,85,spotify:artist:6KImCVD70vtIoJWnq6nGn3
daniel seavey,nan,205448,62,spotify:artist:21z8to3YxZXgKYJpBB54P2
imagine dragons,nan,57389920,88,spotify:artist:53XhwfbYqKCa1cC15pYq2q
benson boone,nan,5860716,88,spotify:artist:22wbnEMDvgVIAGdFeek6ET
david guetta,edm|dance,27083054,90,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
greyson chance,nan,479438,49,spotify:artist:0Qnx1MPnHYt3jJCYrRFVwX
ariana grande,pop,105574941,93,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
dua lipa,pop,46132614,89,spotify:artist:6M2wZ9GZgrQXHCFfjv46we
coolerthanyourboyfriend.,nan,769,48,spotify:artist:76lURF4RaKQMGF7pQnQN8l
paulo gonzo,fado,73113,41,spotify:artist:0YSFc6ZjqSYIZnHQGBzBcF
avicii,edm,23525333,84,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6
louis tomlinson,nan,7098559,65,spotify:artist:57WHJIHrjOE3iAxpihhMnp
liam payne,nan,10250889,66,spotify:artist:5pUo3fmmHT8bhCyHE52hA6
alex warren,nan,1577373,88,spotify:artist:0fTSzq9jAh4c36UVb4V7CB
lounge groove avenue,lounge|jazz house,11882,42,spotify:artist:3SU7Bsd4JB9OFDcFAifce8
luke hemmings,nan,555904,53,spotify:artist:4UFShyUQuA8dguoZrqX0jQ
hugel,latin house|afro house|techengue|tech house,501236,81,spotify:artist:5PlfkPxwCpRRWQJBxCa0By
jp saxe,nan,596341,65,spotify:artist:66W9LaWS0DPdL7Sz8iYGYe
maroon 5,pop,45004280,88,spotify:artist:04gDigrS5kc9YWfZHwBETP
miley cyrus,nan,26045241,86,spotify:artist:5YGY8feqx7naU7z4HrwZM6
doja cat,nan,33434720,87,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5
josias mb,devotional,1391,39,spotify:artist:0ap2yRDQqtS4XPlxNoUrOd
elton john,nan,14944216,84,spotify:artist:3PhoLpVuITZKcymswpck5b
ed sheeran,soft pop,120651080,90,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
billie eilish,nan,112724536,95,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
sia,nan,29952457,86,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN
ana encarnação,nan,1660,33,spotify:artist:3MZLwGdvKgqfoklM9zPygE
chris brown,r&b,26636412,90,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
isabel jacobetty,nan,329,25,spotify:artist:23pSXlIciWUcOYzZVh9U2R
