artista,generos,seguidores,popularidade,uri
diabo na cruz,nan,35304,32,spotify:artist:1904zsEXzR7s5xor9C0AA4
fontaines d.c.,post-punk,950853,73,spotify:artist:3SXwqSqAoBz9WCI9PDQzY6
capitão fausto,nan,76408,46,spotify:artist:5CoXKGQeOWgWi8koTZh07b
nunca mates o mandarim,nan,6091,32,spotify:artist:1mXzaPO6UaW47RaHKVJ1UZ
napa,nan,47909,62,spotify:artist:3BR3Qfra04DICDUB2BL3eu
alt-j,indie|indie rock,3408023,71,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5
arctic monkeys,indie|garage rock,30461666,88,spotify:artist:7Ln80lUS6He07XvHI8qqHH
ganso,nan,18173,39,spotify:artist:4wpd66S5iheFM5GJqauV4E
red hot chili peppers,funk rock|alternative rock|rock,22592299,85,spotify:artist:0L8ExT028jH3ddEcZwqJJ5
parcels,indie soul,995293,71,spotify:artist:3oKRxpszQKUjjaHz388fVA
ornatos violeta,nan,108687,41,spotify:artist:4urt2xl0g8G7PMl5NXnGbu
linda martini,nan,41034,29,spotify:artist:4Pv6qAkea25i2DlW1quQ8t
the strokes,garage rock|indie rock|alternative rock,6293668,78,spotify:artist:0epOFNiUfyON9EYx7Tpr6V
eu.clides,portuguese hip hop,16299,38,spotify:artist:74CsbgI3oYJcNJM3ealhBY
luís severo,nan,17902,29,spotify:artist:4Rgc3a6q9Sn9dwKEA2DKD8
josé pinhal,nan,14830,34,spotify:artist:5onvTfKHQFDOv8SbCDvnF1
the black keys,blues rock|garage rock|modern blues|rock,4124127,73,spotify:artist:7mnBLXK823vNxN3UWB7Gfz
michael kiwanuka,soul,1616873,69,spotify:artist:0bzfPKdbXL5ezYW2z3UGQj
plutonio,portuguese hip hop,747463,66,spotify:artist:39HJXjH5hKcCzaU0g6mv8G
wet bed gang,portuguese hip hop,639366,58,spotify:artist:5jfz7uWPwf03hdEewW8AI8
bombazine,nan,2869,32,spotify:artist:5u1k62yUtsOIqf1U4wIQ8N
slow j,portuguese hip hop,268579,60,spotify:artist:7crp1tZcefnjT5RuL6WZQ0
filipe karlsson,nan,11542,35,spotify:artist:0Yh7cLzoB86bDiq6fAXfB6
filipe sambado,nan,7900,21,spotify:artist:4DBnj3zFrGcRiFME23yT0q
the reytons,nan,150229,54,spotify:artist:3RHoFGKe6KE3LLml7ujPKJ
jam merchants,nan,3458,28,spotify:artist:5EekWPyr5rxqBMxm9CTUQd
c. tangana,nan,3000075,76,spotify:artist:5TYxZTjIPqKM8K8NuP9woO
joão não,portuguese hip hop,2722,27,spotify:artist:5iOD5ECeTZmhUOiIoIPiHC
david bruno,portuguese hip hop,14894,32,spotify:artist:4LOV7E9ZHPnxIDeFWtA6N9
deadletter,post-punk,35720,42,spotify:artist:4MfUQ99z2kgMnl9hAwffBx
yard act,post-punk,135490,46,spotify:artist:2h3ooJn8m8X8cL2g1BZ1Rd
cassete pirata,nan,12395,33,spotify:artist:2VQ14XaMYiXOr7lLePbZrf
lil baby,nan,20634736,88,spotify:artist:5f7VJjfbwm532GiveGC0ZK
mão cabeça,nan,572,18,spotify:artist:1A1fs6qW9TbcmpPARoY7Fy
quadra,nan,1552,12,spotify:artist:3shzbnxS6RC8PJHasU1ebK
richie campbell,portuguese hip hop,321360,56,spotify:artist:2swvbEAfN70ZFcQB4Y7MaS
bob marley & the wailers,reggae|roots reggae,13175668,83,spotify:artist:2QsynagSdAqZj3U9HgDzjD
vasco ribeiro,nan,972,10,spotify:artist:7ryGs7zUd3ifys1LaWftFt
foge foge bandido,art rock,15756,20,spotify:artist:1DnYTlen67TSdcqaewTtDp
tash sultana,nan,1753231,65,spotify:artist:6zVFRTB0Y1whWyH7ZNmywf
dillaz,portuguese hip hop|punta,406278,60,spotify:artist:15p1isN7VcGsjeSq8s9YeP
miguel luz,portuguese hip hop,35448,48,spotify:artist:1jE8NLRTyT22UKfZ8AGRDm
da weasel,portuguese hip hop,119381,44,spotify:artist:71SuRO9s3mJNnwAlw7TD7l
gnr,fado,104378,45,spotify:artist:6zo2w5Asb1DMFZErdRDrrK
xutos & pontapés,nan,356083,49,spotify:artist:1lQnDEcvFAWaUjbyZiHKih
gorillaz,nan,13442029,83,spotify:artist:3AA28KZvwAUcZuOKwyblJQ
vale,portuguese hip hop,147,1,spotify:artist:1zBe6fC6su0Z6xEwXYDPbk
humana taranja,nan,1124,12,spotify:artist:30gIJ4DtGMf73GemRPjMs0
green day,punk|pop punk,16714243,84,spotify:artist:7oPftvlwr6VrsViSDV7fJY
tara perdida,nan,30316,35,spotify:artist:2JDzHpbTcm5cu8Ne2SDYo4
