musica,artista,album,duracao_min,popularidade,uri
deslocado,napa,deslocado,3.0,79,spotify:track:31CsSZ9KlQmEu0JvWSkM3j
na lua,napa,senso comum,3.92,52,spotify:track:5dPR5GJf4XEGxG7vg04NwB
medication,damian marley,stony hill,3.71,72,spotify:track:2WQKHNETUytUGsD32TTNeO
apago tudo,bombazine,apago tudo,3.01,39,spotify:track:77Nr1wbW8QCyScNN7jHxoW
orange blossoms,goldford,orange blossoms,3.2,74,spotify:track:3Xg2ZCPPKfWsj9W8cmLbHF
és onde quero estar,mind da gap,regresso ao futuro,5.26,41,spotify:track:4etCXomGu78qsZu6iLW1W1
end of beginning,djo,decide,2.65,92,spotify:track:3qhlB30KknSejmIvZZLjOD
1 casa 2 portões,filipe karlsson,1 casa 2 portões,2.55,34,spotify:track:1A8OCRzHIAWOb84wbxvQBE
sick love,red hot chili peppers,the getaway,3.69,71,spotify:track:6GsP3uMCd0Dn5T37C93waZ
"baby, tu...",vale,"baby, tu...",3.41,6,spotify:track:5N8KNini94ZtVdEYRajo4T
dona ligeirinha,diabo na cruz,virou!,2.28,34,spotify:track:5BVx5N04DxGevKUxAIMHdr
vida de estrada,diabo na cruz,diabo na cruz,4.71,35,spotify:track:40DQ91LALgjBAhVOgLK6pa
gervonta,peso pluma,gervonta,2.79,80,spotify:track:0hfXHqWhOpbR9YQmQojDMN
responso à mulher,a cantadeira,festival da canção 2025,3.01,23,spotify:track:27tOFMFbjmo87rk8QPLQaI
cantiga infinita,capitão fausto,subida infinita,3.67,37,spotify:track:5egq7F3VGPWsCisW7eJi1e
under the bridge,red hot chili peppers,blood sugar sex magik (deluxe edition),4.41,87,spotify:track:3d9DChrdc6BOeFsbrZ3Is0
selfless,the strokes,the new abnormal,3.7,78,spotify:track:2t0wwvR15fc3K1ey8OiOaN
nuvem negra,capitão fausto,subida infinita,4.49,38,spotify:track:0IkQ1iK61h9KWOoy857ykR
dream job,yard act,where’s my utopia?,2.66,50,spotify:track:3u7PMsVBQ1viIm8tlhotl6
favourite,fontaines d.c.,romance,4.27,73,spotify:track:27w0RH5IDt6xU3B2j7QOuy
taro,alt-j,an awesome wave,5.25,56,spotify:track:4tmwiN9YU7xMjh2hoqcVuI
in the modern world,fontaines d.c.,romance,4.45,67,spotify:track:3kQmcD1XU29nSMrS7kgsWm
papel de jornal,ganso,vice versa,3.44,38,spotify:track:7euWfx28Ceepge349GwXIo
starburster,fontaines d.c.,romance,3.69,77,spotify:track:09ttHg3ZNVgDlYBZa1ZBw0
jackie down the line,fontaines d.c.,skinty fia,4.02,70,spotify:track:1MoA0TNVdveasxnR6c2JqZ
sofá,mão cabeça,sofá,2.99,19,spotify:track:46rwJOv6AmbSOKxcrmLlQP
teddy picker,arctic monkeys,favourite worst nightmare (standard version),2.68,64,spotify:track:4OkPamOn5GofkOQu64Z4eR
jungle,tash sultana,notion,5.26,73,spotify:track:1KTObLMW9mwk2iPjP3daHb
fetiche fonético,ganso,vice versa,4.49,42,spotify:track:3c2AvYrhaJOHWCrCopKG62
me maten - live at npr's tiny desk,c. tangana,el madrileño (la sobremesa),4.04,58,spotify:track:2uFlBIfS4XKyOVPKiIrj5L
fluorescent adolescent,arctic monkeys,favourite worst nightmare (standard version),2.89,74,spotify:track:7e8utCy2JlSB8dRHKi49xM
i love you,fontaines d.c.,skinty fia,5.1,74,spotify:track:5XhMgAWzou6EjDmQtoyoZE
calafrio,jéssica pina,calafrio,3.04,21,spotify:track:128zrTVucBpi6AZyvlqXQr
notion,tash sultana,notion,5.68,65,spotify:track:6TLGmbTgp7hJ7jsDTTHRzw
rosa rubra,joão não,terra-mãe,3.43,24,spotify:track:4XJXUliz75NhMXKB0Ex0P1
society,eddie vedder,into the wild (music for the motion picture),3.94,71,spotify:track:3bHhUEOTIbezeZ856R0BX5
malhão 3.0,diabo na cruz,lebre,3.82,30,spotify:track:6F1jfftzqMBEjALpACGMF2
procissão,diabo na cruz,lebre,4.26,25,spotify:track:3EBfelBL4ol7k1z0cgYrfe
something good,alt-j,an awesome wave,3.62,59,spotify:track:3xqxETvPg43KWP0HOGiOmu
"boulevard, 61",nunca mates o mandarim,"boulevard, 61",4.04,30,spotify:track:2RaLfVih3aEOdW3AWM0b6n
we make hits,yard act,where’s my utopia?,3.04,48,spotify:track:7mYTcajvGEU4LZeHQ8V5w2
fitzpleasure,alt-j,an awesome wave,3.66,61,spotify:track:7DdXf9x75iEVCHWfoRwRuR
vice versa,ganso,vice versa,3.21,33,spotify:track:32zpZSucRBESNL2nqgBYDC
here's the thing,fontaines d.c.,romance,2.72,65,spotify:track:4J4pysp2EFNhYibI8tIg0D
desire,fontaines d.c.,romance,3.65,59,spotify:track:0sM6V5ruZJWKdRGaB7jiXI
os loucos estão certos,diabo na cruz,virou!,2.86,36,spotify:track:31pAz8UjFt3pbUrZSjqj7j
back in the 90's,grouplove,bojack horseman (music from the netflix original series),0.73,52,spotify:track:5d4ERnrRRe9o4I7aFLFTvP
segredos,josé pinhal,vol. 2,2.85,10,spotify:track:7Mf7qQhp4mOaJrN8TZ8MAR
o sonho,vasco ribeiro,o sonho,4.3,20,spotify:track:6nbek14Z1ZlbkhrWnJVCiQ
muitas mais virão,capitão fausto,subida infinita,5.51,39,spotify:track:0vRcunhuLMhpJqn5N20vPd
