artista,generos,seguidores,popularidade,uri
plutonio,portuguese hip hop,747463,66,spotify:artist:39HJXjH5hKcCzaU0g6mv8G
wet bed gang,portuguese hip hop,639366,58,spotify:artist:5jfz7uWPwf03hdEewW8AI8
linkin park,nu metal|rap metal|rock|alternative metal,30219210,91,spotify:artist:6XyY86QOPPrYVGvF9ch6wz
richie campbell,portuguese hip hop,321360,56,spotify:artist:2swvbEAfN70ZFcQB4Y7MaS
slow j,portuguese hip hop,268579,60,spotify:artist:7crp1tZcefnjT5RuL6WZQ0
arctic monkeys,indie|garage rock,30461666,88,spotify:artist:7Ln80lUS6He07XvHI8qqHH
j. cole,rap,26400639,86,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5
metro boomin,nan,11064560,87,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp
mizzy miles,portuguese hip hop|punta,87609,56,spotify:artist:0QoKkMC6uy7fUng96fab1I
dillaz,portuguese hip hop|punta,406278,60,spotify:artist:15p1isN7VcGsjeSq8s9YeP
eu.clides,portuguese hip hop,16299,38,spotify:artist:74CsbgI3oYJcNJM3ealhBY
måneskin,nan,10378052,80,spotify:artist:0lAWpj5szCSwM4rUMHYmrr
xutos & pontapés,nan,356083,49,spotify:artist:1lQnDEcvFAWaUjbyZiHKih
central cee,uk drill|drill|uk grime|grime,8606920,83,spotify:artist:5H4yInM5zmHqpKIoMNAx4r
bon jovi,glam metal|rock,15158672,80,spotify:artist:58lV9VcRSjABbAbfWS6skp
sam the kid,portuguese hip hop,156830,51,spotify:artist:3NEQ5t2FprBMLmDAP0EPcE
u2,rock,13291078,79,spotify:artist:51Blml2LZPmy7TTiAg47vQ
red hot chili peppers,funk rock|alternative rock|rock,22592299,85,spotify:artist:0L8ExT028jH3ddEcZwqJJ5
drake,rap,99072969,98,spotify:artist:3TVXtAsR1Inumwj472S9r4
cassete pirata,nan,12395,33,spotify:artist:2VQ14XaMYiXOr7lLePbZrf
eminem,rap|hip hop,101222362,91,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR
filipe sambado,nan,7900,21,spotify:artist:4DBnj3zFrGcRiFME23yT0q
miguel luz,portuguese hip hop,35448,48,spotify:artist:1jE8NLRTyT22UKfZ8AGRDm
diabo na cruz,nan,35304,32,spotify:artist:1904zsEXzR7s5xor9C0AA4
napa,nan,47909,62,spotify:artist:3BR3Qfra04DICDUB2BL3eu
bryan adams,nan,4442664,78,spotify:artist:3Z02hBLubJxuFJfhacLSDc
two door cinema club,indie,2528618,70,spotify:artist:536BYVgOnRky0xjsPT96zl
pedro mafama,fado,30494,36,spotify:artist:69ca2Xp6iQx8kzL4jXnrWk
calvin harris,edm,23156904,88,spotify:artist:7CajNmpbOovFoOoasH2HaY
nunca mates o mandarim,nan,6091,32,spotify:artist:1mXzaPO6UaW47RaHKVJ1UZ
ac/dc,rock|hard rock|classic rock|rock and roll,31337707,83,spotify:artist:711MCceyCBcFnzjGY4Q7Un
papillon,portuguese hip hop,87290,49,spotify:artist:0Mum6waR8P9WICLVTpSi1d
fontaines d.c.,post-punk,950853,73,spotify:artist:3SXwqSqAoBz9WCI9PDQzY6
ornatos violeta,nan,108687,41,spotify:artist:4urt2xl0g8G7PMl5NXnGbu
nirvana,grunge|rock,22329672,84,spotify:artist:6olE6TJLqED3rqDCT0FyPh
x-tense,portuguese hip hop,55338,41,spotify:artist:7JajP35zM35gnAvTZbwxDF
queen,classic rock|rock|glam rock,54050403,86,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d
scorpions,hard rock|glam metal|rock,8195216,75,spotify:artist:27T030eWyCQRmDyuvr1kxY
sandro g,portuguese hip hop,3501,22,spotify:artist:3Abv223wbAWqd2cyfldp7B
guns n' roses,rock|glam metal|hard rock|classic rock,33978679,82,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC
ganso,nan,18173,39,spotify:artist:4wpd66S5iheFM5GJqauV4E
gabriel o pensador,brazilian hip hop|brazilian rock|mpb|brazilian pop,1674066,55,spotify:artist:5BWqFYIPTnFx3OPWOoJvmD
antónio variações,fado,112061,39,spotify:artist:5fgtcrHICBqlrkHtSWWu0F
bispo,portuguese hip hop,375581,60,spotify:artist:3LZCMaZWwvhYyQeEfWgVdY
t-rex,portuguese hip hop|punta,627056,57,spotify:artist:6QHREBOQktWsYBfrxW93rk
ivandro,portuguese hip hop|kizomba|zouk,463771,57,spotify:artist:1pPbDeOdNUcLq32HTTLbZm
jay-z,hip hop|east coast hip hop|rap,10072666,85,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB
vale,portuguese hip hop,147,1,spotify:artist:1zBe6fC6su0Z6xEwXYDPbk
onerepublic,soft pop,18322812,85,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ
dino d'santiago,portuguese hip hop|kizomba,62943,45,spotify:artist:7qb2GMJaX4HeXqqPPyYdlr
