artista,generos,seguidores,popularidade,uri
partynextdoor,dark r&b|r&b|trap soul,9176216,87,spotify:artist:2HPaUgqeutzr3jx5a9WyDV
drake,rap,99097438,98,spotify:artist:3TVXtAsR1Inumwj472S9r4
brent faiyaz,r&b,7486032,83,spotify:artist:3tlXnStJ1fFhdScmQeLpuG
bryson tiller,trap soul|r&b,10101307,82,spotify:artist:2EMAnMvWE2eb56ToJVfCWs
don toliver,nan,6790484,87,spotify:artist:4Gso3d4CscCijv0lmajZWs
tory lanez,nan,7835305,83,spotify:artist:2jku7tDXc6XoB6MO2hFuqg
lon3r johny,portuguese hip hop|punta,126930,55,spotify:artist:1fV7Au7ymGP3uhDV1TfjSd
summer walker,r&b,7671829,80,spotify:artist:57LYzLEk2LcFghVwuWbcuS
lil tecca,melodic rap|rap,9523709,85,spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo
odeal,afroswing|alté|uk r&b|afro r&b|afrobeats|afrobeat|afro soul,228669,66,spotify:artist:2BPwxhCvvcb8xDl8GWIjbh
b i l l y g,kuduro|afro house,8233,41,spotify:artist:2Mpw0nGvpyFqhdqdhNPFsg
dolce,kizomba,40296,42,spotify:artist:2XGXbQFvAcvkqXYATSNO4P
isaiah falls,dark r&b,115961,63,spotify:artist:0ocxWXtgr9tJW60xV5ZufT
chase shakur,dark r&b,260136,58,spotify:artist:1gW1Q6W7d3a9dDXk1KlbG8
trippie redd,melodic rap,10621350,81,spotify:artist:6Xgp2XMz1fhVYe7i6yNAax
givēon,r&b,4785432,79,spotify:artist:4fxd5Ee7UefO4CUXgwJ7IP
the weeknd,nan,106079076,96,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
avenoir,dark r&b|alternative r&b|r&b,387619,66,spotify:artist:3Z7onAknzpinUu3KtmgeZb
gunna,melodic rap,9573462,87,spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ
plutonio,portuguese hip hop,748483,66,spotify:artist:39HJXjH5hKcCzaU0g6mv8G
pikika,portuguese hip hop,4488,38,spotify:artist:2l9cXS6ljQtg4wOGYR94WN
wizkid,afrobeats|afrobeat|afropop|azonto|afroswing|afro r&b|afropiano,8133380,81,spotify:artist:3tVQdUvClmAT7URs9V3rsp
black spygo,kizomba|kuduro|zouk,161405,45,spotify:artist:2A0VfJYVYzMd2EzexuHvjY
sonder,dark r&b,1826846,73,spotify:artist:2ICR2m4hOBPhaYiZB3rnLW
tems,afrobeats|afro r&b|alté|afrobeat,3174036,77,spotify:artist:687cZJR45JO7jhk1LHIbgq
future,rap,21601652,92,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i
travis scott,rap,39042711,93,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
knucks,uk drill|grime|uk grime|drill,481744,64,spotify:artist:6W4vm8P3JFQboO4cvHeqaa
merveille,french r&b,195719,61,spotify:artist:6a4YQ8ebVHffAYNkHn9nc8
fallon,shatta|french r&b,18891,43,spotify:artist:4KnnkSpgIiaRMmXO8qq18I
destin conrad,alternative r&b,186623,61,spotify:artist:4jwROPSUkTkohLCRiyjiZZ
hamza,french rap|pop urbaine|french r&b,1591850,77,spotify:artist:5gs4Sm2WQUkcGeikMcVHbh
djodje,kizomba|zouk|kuduro|kompa,267848,52,spotify:artist:62huveC2Mmi9nfW0ySqNwo
sza,r&b,30382735,93,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP
metro boomin,nan,11069175,87,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp
miguel kr,nan,4480,28,spotify:artist:1MLFFmcB0PjMZ95bO1612G
daniel caesar,nan,9532792,86,spotify:artist:20wkVLutqVOYrc0kxFs7rA
h.e.r.,r&b,8451652,76,spotify:artist:3Y7RZ31TRPVadSFVy1o8os
karri,dark r&b,97852,55,spotify:artist:6EYGGkM2JDpX5CjHpGkiME
pinkpantheress,bedroom pop,4227978,81,spotify:artist:78rUTD7y6Cy67W1RVzYs7t
4batz,nan,649929,65,spotify:artist:5fi7lIgJGH3RgUpJYcffQ7
leon thomas,nan,551443,77,spotify:artist:0nnBZ8FXWjG9wZgM2cpfeb
melvitto,afrobeats|afrobeat|alté|afro r&b|afroswing|afropop|afro soul,195983,64,spotify:artist:4Xj0nxVO4r7PLEaw7LRiBa
jayo,afrobeats|afroswing|afro r&b|alté|uk r&b|afrobeat,88825,53,spotify:artist:1IMENE2OCzsrXuu62aW1mD
nobu woods,dark r&b|trap soul,107716,57,spotify:artist:5ALcXwMBh6MxbInMWmHElC
maz b,dark r&b,22844,52,spotify:artist:7dmwSItAEr4EhkUH5C9aXH
21 savage,nan,22764084,88,spotify:artist:1URnnhqYAYcrqrcwql10ft
t-rex,portuguese hip hop|punta,628030,57,spotify:artist:6QHREBOQktWsYBfrxW93rk
june freedom,afrobeats|kizomba|afrobeat|afro r&b|afropop,58867,57,spotify:artist:7dYb5EKtRnRaWM0GQ12cKC
sainté,uk drill,385496,61,spotify:artist:3DEdNjxF3ea9taOMCXouZ6
