musica,artista,album,duracao_min,popularidade,uri
something about you,partynextdoor,$ome $exy $ongs 4 u,3.64,79,spotify:track:1F6nHHDJyTHLgDDFj1ZZDt
spider-man superman,partynextdoor,$ome $exy $ongs 4 u,3.4,75,spotify:track:4GqhG9rDuRUoNyDSMJ0Brq
die trying,partynextdoor,$ome $exy $ongs 4 u,3.26,87,spotify:track:0NUqi0ps17YpLUC3kgsZq0
mhmm (with rimon),chase shakur,wonderlove,4.3,61,spotify:track:5MDbtupR6oy8loU6Njp8jf
deeper,partynextdoor,$ome $exy $ongs 4 u,2.87,76,spotify:track:4JeD0FGslDsMeeahEGZa2L
normal,fallon,normal,2.84,58,spotify:track:4gGxBFqh6tZWktF9h9HWlU
festa bem louca,pikika,festa bem louca,3.14,38,spotify:track:46lo7mHkfFQpd3i6C6FPDS
meet your padre,partynextdoor,$ome $exy $ongs 4 u,4.52,56,spotify:track:6IcD1PElC3dJof2jY3n3Yt
nokia,drake,$ome $exy $ongs 4 u,4.02,94,spotify:track:2u9S9JJ6hTZS3Vf22HOZKg
moth balls,partynextdoor,$ome $exy $ongs 4 u,3.54,74,spotify:track:7DL2F2bueQycqYjqsjHYjG
somebody loves me,partynextdoor,$ome $exy $ongs 4 u,3.05,82,spotify:track:2kZoOj1n5vk9BuF0sih58M
crying in chanel,drake,$ome $exy $ongs 4 u,3.33,72,spotify:track:5aIEFCKhVUM5sKkwOSdFiM
pimmie's dilemma,pimmie,$ome $exy $ongs 4 u,1.97,68,spotify:track:4cwyp1aL1q3LfGCteqe8tL
"dreams, fairytales, fantasies (feat. brent faiyaz & salaam remi)",a$ap ferg,floor seats,3.72,81,spotify:track:5oady7OSE7dH7LHiqmb3Cr
gimme a hug,drake,$ome $exy $ongs 4 u,3.22,79,spotify:track:5Nz7hI3cCOHmMR4vSLJ1An
celibacy,partynextdoor,$ome $exy $ongs 4 u,3.93,70,spotify:track:578CwfxpfH2HxlENOCHc2n
anti$$ocial,lon3r johny,anti$$ocial,3.24,53,spotify:track:6Su25sW12rzNjK3b3yLt9r
raining in houston,drake,$ome $exy $ongs 4 u,4.08,73,spotify:track:2xxb5zW09uwbgyLprALi9E
bad for you (feat. jazmine sullivan),wizkid,morayo,2.85,68,spotify:track:3Ae97zTfGTtJzDfmCweNn8
piña colada,lon3r johny,piña colada,3.37,57,spotify:track:4r4PT8ztky9NfGINelXcxM
deep,summer walker,last day of summer,1.53,73,spotify:track:3LfHBTYZBTqmz43tvVXJBd
lasers,partynextdoor,$ome $exy $ongs 4 u,3.31,70,spotify:track:2vjFTjmvpFjFM01cNdG2ik
free fall (feat. j. cole),tems,born in the wild,3.2,68,spotify:track:3cuUZnjDwk4cUJCFinYbAC
sorrows,bryson tiller,a n n i v e r s a r y,3.23,80,spotify:track:5TXQCMKN6TgemTL3c4wRTn
small town fame,drake,$ome $exy $ongs 4 u,2.48,73,spotify:track:1YHQQFtKqFSFrqL4cNvstU
greedy,partynextdoor,$ome $exy $ongs 4 u,6.44,64,spotify:track:2WNUYpLeOSMSlWgOmgGURl
mapa cor de rosa,plutonio,carta de alforria,3.44,55,spotify:track:4UzqpJRQcimoTGzD1uSqj2
whatever she wants,bryson tiller,whatever she wants,2.69,81,spotify:track:57wp7VFnV8X0pSVnYArGeJ
omw,partynextdoor,$ome $exy $ongs 4 u,3.88,70,spotify:track:775a936b2Vzl3fw86FaVat
poison,brent faiyaz,poison,3.55,80,spotify:track:5NijSs5dAwaIybq1GaRTIe
y.d.l.r.,tory lanez,playboy,2.43,70,spotify:track:0ZHLqpysyyJil6TlEJAZY9
best time,brent faiyaz,larger than life,1.38,79,spotify:track:1zgHn1EqUyA0HqNYMdJ5ia
n.a.m.e,bousmara division n°1,playoffs 2024,4.84,58,spotify:track:4WhAvHKAOkmPVTQDlG1dIX
uh la la la,lon3r johny,anti$$ocial,3.0,57,spotify:track:1A6tib5hSqCJAMSBRkNV55
diva,isaiah falls,drugs n' lullabies,2.61,49,spotify:track:2Im7LIouMVQppcmPay1iBA
bus stop (feat. brent faiyaz),don toliver,love sick,3.95,67,spotify:track:2k3IJR9hf34ZfEnTdlcoSK
brian steel,drake,$ome $exy $ongs 4 u,1.86,71,spotify:track:3FHO87BSOEVAsedSnCTnvz
dinamite,lon3r johny,london lp,2.65,47,spotify:track:5QFz3c9kGLZ8LKLl7w1fpC
não os vejo,lon3r johny,anti$$ocial,3.9,41,spotify:track:7B0B9zz2eeBTaqGzc2dgdr
keep doing what you're doing,bryson tiller,a n n i v e r s a r y,2.97,68,spotify:track:1MpQyTgfVMpUOnwKMTSMzu
tbh,partynextdoor,partynextdoor,2.05,78,spotify:track:236P5yLtfnHgTMxevc0q6F
belong to the city,partynextdoor,partynextdoor two,1.63,81,spotify:track:5c3luoCub1Z1Gg74NdNtuq
spin bout u,drake,her loss,3.58,78,spotify:track:2ZL7WZcjuYKi1KUDtp4kCC
loyalty. feat. rihanna.,kendrick lamar,damn.,3.79,80,spotify:track:6SwRhMLwNqEi6alNPVG00n
