musica,artista,album,duracao_min,popularidade,uri
brutos diamantes,syro,11 11,2.94,54,spotify:track:0Mt4MqKdU2Z5wcBE9vybbi
anos luz,matuê,anos luz,4.4,73,spotify:track:0GYPcKDlsb8WEtJkkKdtgH
bênção (feat. van zee & bispo),mizzy miles,fim do nada,3.43,58,spotify:track:5VOhg3dqCqRGWwKXF6DLLW
vai,calema,a.n.v.,5.37,47,spotify:track:0UMENt5lQEav4Nl081rUtG
país das maravilhas,plutonio,carta de alforria,4.09,61,spotify:track:0qGRWcPOMkkt7edm4wMVRf
à deriva,catarina castanhas,à deriva,3.64,39,spotify:track:7sxMXCN9g9C9aozCtghq7D
ngozi,crayon,trench to triumph,3.69,68,spotify:track:5mhM7bfzv52bzfCzlq8vH1
interestelar,plutonio,carta de alforria,3.14,68,spotify:track:12j1Mq9Of1xfONYvGzhayD
6am em paris,plutonio,carta de alforria,2.39,52,spotify:track:4h28q7QSDbmiTKw9ziSujA
casa,fernando daniel,v.h.s (vol.1),3.44,55,spotify:track:53gXl8SihJLcFeC2D8g6ry
multiplica,plutonio,carta de alforria,3.15,51,spotify:track:6MHo8PlORvq1btc03EdwMH
on the low,burna boy,african giant,3.1,64,spotify:track:25MPSH5b95vAZgyQq9lt4M
deja vu,plutonio,carta de alforria,3.39,61,spotify:track:4VhSwcMCrXQgEfwls3s46o
do you no wrong,richie campbell,lisboa,4.05,56,spotify:track:6FInCuMbSlhdlkiFv36KUi
dor de amar,syro,11 11,3.21,38,spotify:track:18xnUONbb9yj6LLIVVnbk3
cordapele,slow j,afro fado,2.98,53,spotify:track:2Vhdvxsjs24nQLaUn6oWcp
contra probabilidades,bispo,contra probabilidades,3.38,59,spotify:track:5nYYQ85x9DwEiEpETQNlNC
tempo,catarina castanhas,tempo,3.09,21,spotify:track:6FphCxh9LXRCiChMwuxytM
amor de ganga,miguel luz,ganga com ganga,3.45,54,spotify:track:7IPUNxs3vUvunfEFxRTGzS
imagina,nuno ribeiro,falar de nós,2.73,49,spotify:track:5ue1c7Bk2OoDDYsK1VQrln
you know,kaako,you know,2.6,35,spotify:track:7MSEgFoBIpFNfTPecvUajK
abraços,calema,yellow,3.6,46,spotify:track:7uD51vdmt2Rhx6rnnFztLJ
como 1 rei,plutonio,carta de alforria,3.19,52,spotify:track:0gp9v2rrbNE3BN5OAcYLhi
ohnana,kapo,ohnana,2.61,83,spotify:track:1fTjqf10accJCDYstPwwZ6
bkbn,soraia ramos,cocktail,2.98,43,spotify:track:23uHw2yIL9c4x6pS5wl09U
tu não mentes,soraia tavares,tu não mentes,3.27,32,spotify:track:78Ro3C8B7Af9JEYrWeL1AU
amar pela metade,calema,voyage (part iii),3.12,63,spotify:track:1UQvRmRhbX3WxSLW3NbUIU
location (feat. burna boy),dave,psychodrama,4.02,78,spotify:track:3z4CGd63tpUn9a6oQSG0CI
buquê,deejay telio,reservado,3.53,49,spotify:track:0y3DknjjTVJxYGNlUbVIyB
luxemburgo,plutonio,carta de alforria,3.53,60,spotify:track:1yjYtmNf1DpfQMjBpVy5rg
fim da noite,kappa jotta,fim da noite,3.57,55,spotify:track:31pd4crQES4hOaWHGIpzXI
rosa (feat. conan osiris),nuno ribeiro,falar de nós,2.87,47,spotify:track:09tlwAXVt7daPAkZeYrvIo
medo,fernando daniel,medo,3.0,46,spotify:track:2cCBoxdo5XuRrYXeCattN6
champions league (feat. slow j & gson),mizzy miles,fim do nada,2.68,60,spotify:track:1kJml4AvYDxIMcJVt7nYlL
amar outra vez,anselmo ralph,amar outra vez,3.51,52,spotify:track:3rTG8gX6MXx7oWqIbb7ECB
sr. guarda,plutonio,"sacrifício: sangue, lágrimas, suor",3.15,47,spotify:track:2lCTqvHxDBL6reQ0NqgSqe
o teu cheiro,bispo,entre nós,2.84,52,spotify:track:3D1ehynDwM6z7vgkxogkTT
gravidade,dillaz,gravidade,4.06,56,spotify:track:1xKyLu1AbYauopjoAi0bQU
obeah me,notnice,street vybz 2.0 (750ml),2.47,47,spotify:track:1YSz0j9HvFHu1HNxlAvjKR
rush,ayra starr,19 & dangerous (deluxe),3.08,75,spotify:track:1xs8bOvm3IzEYmcLJVOc34
aqui pra ti,badoxa,aqui pra ti,3.57,55,spotify:track:0BQTqEVfJika55rjtiMy8L
normal,nenny,normal,2.87,35,spotify:track:0zew2jGUrcp12u0wmaWtgQ
deslocado,napa,deslocado,3.0,79,spotify:track:31CsSZ9KlQmEu0JvWSkM3j
o clima,lhast,o clima,3.96,47,spotify:track:5fh5ROgEFMMQ0DjPS1VAxm
montanha,plutonio,carta de alforria,3.15,60,spotify:track:71Aj0joTSW4wv8olaHNBvK
mussulo (feat. doddy),dj malvado,mussulo (feat. doddy),4.27,69,spotify:track:3VSO45erUjYsPi1IFuc43Q
vencedor,phoenix rdc,m.a.d.h.p.,4.35,54,spotify:track:7h3rSYFzLQbQy241BVaiTX
povo,supa squad,povo,3.5,38,spotify:track:3W7cu7ORKiHF6A2BvQLam3
se olhares para o caminho,dillaz,cria actividade,4.03,49,spotify:track:46ttON2E97GNgr1Awh6ELJ
ultimamente,slow j,afro fado,3.71,53,spotify:track:2OXcFFTAhcpElg1ZMAqLB7
