musica,artista,album,duracao_min,popularidade,uri
We're On Our Way,LÒNIS,We're On Our Way,2.7,50,spotify:track:6AjMgHgz55SectjDOKzO6o
Pôr do Sol,Vizinhos,Pôr do Sol,2.68,65,spotify:track:2yMTUaAv55qoTD0JPLodIQ
Gata - Barbie,MC Tuto,Gata (Barbie),3.09,69,spotify:track:4UADn7KrfGSr4KjqMrvGzd
Vais Ter Saudades,Mimicat,Peito,3.34,28,spotify:track:4oYqPh32P3BWWvs10E6Fpd
Oh Garota Eu Quero Você Só Pra Mim.,Oruam,Oh Garota Eu Quero Você Só Pra Mim.,2.78,81,spotify:track:0BUkQGUXgcvf3gdCWYbtnJ
Bate,DENNIS,Bate,2.3,74,spotify:track:2POQJLngiE5R6RfdLgKkcI
Sei Que Tu Me Odeia,Anitta,Ensaios Da Anitta,2.68,79,spotify:track:77HhVmRv7IxDqkyMxElSrK
I Wanna Thank Me (feat. Niecy Nash),Meghan Trainor,Timeless,2.39,57,spotify:track:3lrwUibGeLUfMB9mlQiVVV
Tando,Nuzio Medeiros,Tando,3.53,73,spotify:track:4seW5sDVICaZw34NzrHPm0
Surreal,Luísa Sonza,Escândalo Íntimo,3.91,70,spotify:track:1dv8qeBPtLAli7J3xNeTDR
La Plena - W Sound 05,W Sound,La Plena (W Sound 05),2.5,95,spotify:track:6iOndD4OFo7GkaDypWQIou
Resenha do Arrocha,J. Eskine,Resenha do Arrocha,5.91,79,spotify:track:0NQyryTVbjGMtWMA1eSqIn
AMBIENTE ERRADO - Ao Vivo,Luan Santana,LUAN CITY 2.0 (Ao Vivo),2.41,66,spotify:track:7blC5LzebSn2A64Kn4XXMP
os croquetes acabam,Nena,Um Brinde ao Agora,3.62,39,spotify:track:5FX2UDfNjOE47t4c0M86Gq
Vais Partir,Azeituna,Azul,3.88,26,spotify:track:2nZEYeWwyuFnGwsrgyVKpc
Deslocado,NAPA,Deslocado,3.0,79,spotify:track:31CsSZ9KlQmEu0JvWSkM3j
