artista,generos,seguidores,popularidade,uri
The Weeknd,,106027618,96,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
Niall Horan,,10233244,74,spotify:artist:1Hsdzj7Dlq2I7tHP7501T4
Mystic Diversions,lounge,13972,45,spotify:artist:5IxvlwTJDQKlgIJbOPG0IQ
Cigarettes After Sex,dream pop,15995311,86,spotify:artist:1QAJqy2dA3ihHBFIHRphZj
D.A.M.A,,405635,51,spotify:artist:4h5zTnUibCdGWia43hOo5y
Umur Anil Gokdag,,17798,61,spotify:artist:6TE5uKxtwtgJ2kcUNRhzJP
Everybody Loves an Outlaw,,119836,60,spotify:artist:5RCWMaArEntbkeWYVxCiFW
Teddy Swims,,4850820,87,spotify:artist:33qOK5uJ8AR2xuQQAhHump
Tory Lanez,,7832566,83,spotify:artist:2jku7tDXc6XoB6MO2hFuqg
MNA55,afro house,311,50,spotify:artist:0mRB3pdJwKoWURZgvgfwI9
Michele Morrone,,545761,56,spotify:artist:03fLoIOO015incUitpfkad
Harry Styles,,33749949,85,spotify:artist:6KImCVD70vtIoJWnq6nGn3
Daniel Seavey,,205448,62,spotify:artist:21z8to3YxZXgKYJpBB54P2
Imagine Dragons,,57389920,88,spotify:artist:53XhwfbYqKCa1cC15pYq2q
Benson Boone,,5860716,88,spotify:artist:22wbnEMDvgVIAGdFeek6ET
David Guetta,edm|dance,27083054,90,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
Greyson Chance,,479438,49,spotify:artist:0Qnx1MPnHYt3jJCYrRFVwX
Ariana Grande,pop,105574941,93,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
Dua Lipa,pop,46132614,89,spotify:artist:6M2wZ9GZgrQXHCFfjv46we
coolerthanyourboyfriend.,,769,48,spotify:artist:76lURF4RaKQMGF7pQnQN8l
Paulo Gonzo,fado,73113,41,spotify:artist:0YSFc6ZjqSYIZnHQGBzBcF
Avicii,edm,23525333,84,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6
Louis Tomlinson,,7098559,65,spotify:artist:57WHJIHrjOE3iAxpihhMnp
Liam Payne,,10250889,66,spotify:artist:5pUo3fmmHT8bhCyHE52hA6
Alex Warren,,1577373,88,spotify:artist:0fTSzq9jAh4c36UVb4V7CB
Lounge Groove Avenue,lounge|jazz house,11882,42,spotify:artist:3SU7Bsd4JB9OFDcFAifce8
Luke Hemmings,,555904,53,spotify:artist:4UFShyUQuA8dguoZrqX0jQ
HUGEL,latin house|afro house|techengue|tech house,501236,81,spotify:artist:5PlfkPxwCpRRWQJBxCa0By
JP Saxe,,596341,65,spotify:artist:66W9LaWS0DPdL7Sz8iYGYe
Maroon 5,pop,45004280,88,spotify:artist:04gDigrS5kc9YWfZHwBETP
Miley Cyrus,,26045241,86,spotify:artist:5YGY8feqx7naU7z4HrwZM6
Doja Cat,,33434720,87,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5
Josias MB,devotional,1391,39,spotify:artist:0ap2yRDQqtS4XPlxNoUrOd
Elton John,,14944216,84,spotify:artist:3PhoLpVuITZKcymswpck5b
Ed Sheeran,soft pop,120651080,90,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
Billie Eilish,,112724536,95,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
Sia,,29952457,86,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN
Ana Encarnação,,1660,33,spotify:artist:3MZLwGdvKgqfoklM9zPygE
Chris Brown,r&b,26636412,90,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
Isabel Jacobetty,,329,25,spotify:artist:23pSXlIciWUcOYzZVh9U2R
