musica,artista,album,duracao_min,popularidade,uri
Wave a Little Light,Mystic Diversions,Wave a Little Light,5.28,33,spotify:track:2DhOdVznjxoIR5WrCzvFLA
Sympathique,Pink Martini,Sympathique,2.8,57,spotify:track:1sKpay0q1lsH8RgafNzdI1
Blinding Lights,The Weeknd,After Hours,3.33,91,spotify:track:0VjIjW4GlUZAMYd2vXMi3b
Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),3.51,92,spotify:track:17phhZDn6oGtzMe56NuWvj
Soledad Sensual,Mystic Diversions,Wave a Little Light,3.97,22,spotify:track:1TunVyyHWRfKAwiFYjMeng
Wonderwall - Remastered,Oasis,(What's The Story) Morning Glory? [Remastered],4.31,81,spotify:track:5qqabIl2vWzo9ApSC317sa
Oceans (Onde os Meus Pés Podem Falhar) - Cover,Clã João Garcia,Oceans (Onde os Meus Pés Podem Falhar) [Cover],5.35,21,spotify:track:25rbWEvT0zRrwFAPSw6m8Z
Me As Matado El Corazon,Mystic Diversions,Wave a Little Light,3.95,43,spotify:track:0G5lFZfW7kygbMxLljnZ3V
Idrk,Annie Rose,Idrk,3.35,7,spotify:track:6FaoSHSjHv92ZbZq92AvoA
O anzol,Rádio Macau,O Elevador Da Glória,3.19,48,spotify:track:00xcrNRhDx1HDdpfhnnDhI
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),4.08,94,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW
If the World Was Ending (feat. Julia Michaels),JP Saxe,Hold It Together (Deluxe),3.49,72,spotify:track:4bp5G6x1SXMQW4X9DbCCCp
Don't Be a Fool,Mystic Diversions,Wave a Little Light,4.13,8,spotify:track:63GD0fjnXNeNmzFdLLQ0hR
The Night We Met,Lord Huron,Strange Trails,3.47,92,spotify:track:3hRV0jL3vUpRrcy398teAU
Save Your Tears,The Weeknd,After Hours,3.59,88,spotify:track:5QO79kh1waicV47BqGRL3g
Sideways,Gordo,DIAMANTE,4.23,73,spotify:track:02YMpD1xbZZzpZbuZNvmD7
Angel Soul,Mystic Diversions,Angel Soul,5.87,36,spotify:track:1dwn40VWz18gPAfluewIvx
Is There Someone Else?,The Weeknd,Dawn FM,3.32,84,spotify:track:0mL82sxCRjrs3br407IdJh
Wanna Fxck - Lost Tapes 2022,Tory Lanez,Wanna Fxck (Lost Tapes 2022),2.67,43,spotify:track:42cO8qdboMxJPtgOSNtygx
Training Season,Dua Lipa,Radical Optimism,3.49,83,spotify:track:5b5cPscqVEMChvDqscVw26
Still,Niall Horan,Heartbreak Weather,4.2,63,spotify:track:4Zwt0IkpzDOW2u0YfV94TK
Bad Feeling (Oompa Loompa),Jagwar Twin,SideQuest,2.23,68,spotify:track:49mdbuKOwG31eUYtAunzf4
Pink Dolphin Sunset (feat. Tee),Tory Lanez,Alone At Prom,3.54,70,spotify:track:6GGmABM6AMwMzEhK7szqJT
Cinque Ottavi,Mystic Diversions,Wave a Little Light,5.28,8,spotify:track:1DTeXhi9rCbvebcKB3Czxy
Everywhere,Niall Horan,Heartbreak Weather,2.82,58,spotify:track:2NRpuYVJPYhxC8xyutxkoL
No Judgement,Niall Horan,Heartbreak Weather,2.94,59,spotify:track:2sGF7DBXvL2GjkbG606m1G
Dawn FM,The Weeknd,Dawn FM,1.6,57,spotify:track:6krYS8KtmNAYyb5uTZiYW4
Small Talk,Niall Horan,Heartbreak Weather,3.3,61,spotify:track:2928yIGFV4enculPwmmGSe
Teardrops,Liam Payne,Teardrops,2.91,61,spotify:track:2SYovto91rjt4Dh5w330JJ
