artista,generos,seguidores,popularidade,uri
Diabo Na Cruz,,35304,32,spotify:artist:1904zsEXzR7s5xor9C0AA4
Fontaines D.C.,post-punk,950853,73,spotify:artist:3SXwqSqAoBz9WCI9PDQzY6
Capitão Fausto,,76408,46,spotify:artist:5CoXKGQeOWgWi8koTZh07b
Nunca Mates o Mandarim,,6091,32,spotify:artist:1mXzaPO6UaW47RaHKVJ1UZ
NAPA,,47909,62,spotify:artist:3BR3Qfra04DICDUB2BL3eu
alt-J,indie|indie rock,3408023,71,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5
Arctic Monkeys,indie|garage rock,30461666,88,spotify:artist:7Ln80lUS6He07XvHI8qqHH
Ganso,,18173,39,spotify:artist:4wpd66S5iheFM5GJqauV4E
Red Hot Chili Peppers,funk rock|alternative rock|rock,22592299,85,spotify:artist:0L8ExT028jH3ddEcZwqJJ5
Parcels,indie soul,995293,71,spotify:artist:3oKRxpszQKUjjaHz388fVA
Ornatos Violeta,,108687,41,spotify:artist:4urt2xl0g8G7PMl5NXnGbu
Linda Martini,,41034,29,spotify:artist:4Pv6qAkea25i2DlW1quQ8t
The Strokes,garage rock|indie rock|alternative rock,6293668,78,spotify:artist:0epOFNiUfyON9EYx7Tpr6V
EU.CLIDES,portuguese hip hop,16299,38,spotify:artist:74CsbgI3oYJcNJM3ealhBY
Luís Severo,,17902,29,spotify:artist:4Rgc3a6q9Sn9dwKEA2DKD8
José Pinhal,,14830,34,spotify:artist:5onvTfKHQFDOv8SbCDvnF1
The Black Keys,blues rock|garage rock|modern blues|rock,4124127,73,spotify:artist:7mnBLXK823vNxN3UWB7Gfz
Michael Kiwanuka,soul,1616873,69,spotify:artist:0bzfPKdbXL5ezYW2z3UGQj
Plutonio,portuguese hip hop,747463,66,spotify:artist:39HJXjH5hKcCzaU0g6mv8G
Wet Bed Gang,portuguese hip hop,639366,58,spotify:artist:5jfz7uWPwf03hdEewW8AI8
bombazine,,2869,32,spotify:artist:5u1k62yUtsOIqf1U4wIQ8N
Slow J,portuguese hip hop,268579,60,spotify:artist:7crp1tZcefnjT5RuL6WZQ0
Filipe Karlsson,,11542,35,spotify:artist:0Yh7cLzoB86bDiq6fAXfB6
Filipe Sambado,,7900,21,spotify:artist:4DBnj3zFrGcRiFME23yT0q
The Reytons,,150229,54,spotify:artist:3RHoFGKe6KE3LLml7ujPKJ
Jam Merchants,,3458,28,spotify:artist:5EekWPyr5rxqBMxm9CTUQd
C. Tangana,,3000075,76,spotify:artist:5TYxZTjIPqKM8K8NuP9woO
João Não,portuguese hip hop,2722,27,spotify:artist:5iOD5ECeTZmhUOiIoIPiHC
David Bruno,portuguese hip hop,14894,32,spotify:artist:4LOV7E9ZHPnxIDeFWtA6N9
DEADLETTER,post-punk,35720,42,spotify:artist:4MfUQ99z2kgMnl9hAwffBx
Yard Act,post-punk,135490,46,spotify:artist:2h3ooJn8m8X8cL2g1BZ1Rd
Cassete Pirata,,12395,33,spotify:artist:2VQ14XaMYiXOr7lLePbZrf
Lil Baby,,20634736,88,spotify:artist:5f7VJjfbwm532GiveGC0ZK
Mão Cabeça,,572,18,spotify:artist:1A1fs6qW9TbcmpPARoY7Fy
Quadra,,1552,12,spotify:artist:3shzbnxS6RC8PJHasU1ebK
Richie Campbell,portuguese hip hop,321360,56,spotify:artist:2swvbEAfN70ZFcQB4Y7MaS
Bob Marley & The Wailers,reggae|roots reggae,13175668,83,spotify:artist:2QsynagSdAqZj3U9HgDzjD
Vasco Ribeiro,,972,10,spotify:artist:7ryGs7zUd3ifys1LaWftFt
Foge Foge Bandido,art rock,15756,20,spotify:artist:1DnYTlen67TSdcqaewTtDp
Tash Sultana,,1753231,65,spotify:artist:6zVFRTB0Y1whWyH7ZNmywf
Dillaz,portuguese hip hop|punta,406278,60,spotify:artist:15p1isN7VcGsjeSq8s9YeP
Miguel Luz,portuguese hip hop,35448,48,spotify:artist:1jE8NLRTyT22UKfZ8AGRDm
Da Weasel,portuguese hip hop,119381,44,spotify:artist:71SuRO9s3mJNnwAlw7TD7l
GNR,fado,104378,45,spotify:artist:6zo2w5Asb1DMFZErdRDrrK
Xutos & Pontapés,,356083,49,spotify:artist:1lQnDEcvFAWaUjbyZiHKih
Gorillaz,,13442029,83,spotify:artist:3AA28KZvwAUcZuOKwyblJQ
VALE,portuguese hip hop,147,1,spotify:artist:1zBe6fC6su0Z6xEwXYDPbk
HUMANA TARANJA,,1124,12,spotify:artist:30gIJ4DtGMf73GemRPjMs0
Green Day,punk|pop punk,16714243,84,spotify:artist:7oPftvlwr6VrsViSDV7fJY
Tara Perdida,,30316,35,spotify:artist:2JDzHpbTcm5cu8Ne2SDYo4
