musica,artista,album,duracao_min,popularidade,uri
Deslocado,NAPA,Deslocado,3.0,79,spotify:track:31CsSZ9KlQmEu0JvWSkM3j
Na Lua,NAPA,Senso Comum,3.92,52,spotify:track:5dPR5GJf4XEGxG7vg04NwB
Medication,Damian Marley,Stony Hill,3.71,72,spotify:track:2WQKHNETUytUGsD32TTNeO
Apago tudo,bombazine,Apago tudo,3.01,39,spotify:track:77Nr1wbW8QCyScNN7jHxoW
Orange Blossoms,GoldFord,Orange Blossoms,3.2,74,spotify:track:3Xg2ZCPPKfWsj9W8cmLbHF
És Onde Quero Estar,Mind da Gap,Regresso Ao Futuro,5.26,41,spotify:track:4etCXomGu78qsZu6iLW1W1
End of Beginning,Djo,DECIDE,2.65,92,spotify:track:3qhlB30KknSejmIvZZLjOD
1 Casa 2 Portões,Filipe Karlsson,1 Casa 2 Portões,2.55,34,spotify:track:1A8OCRzHIAWOb84wbxvQBE
Sick Love,Red Hot Chili Peppers,The Getaway,3.69,71,spotify:track:6GsP3uMCd0Dn5T37C93waZ
"BABY, TU...",VALE,"BABY, TU...",3.41,6,spotify:track:5N8KNini94ZtVdEYRajo4T
Dona Ligeirinha,Diabo Na Cruz,Virou!,2.28,34,spotify:track:5BVx5N04DxGevKUxAIMHdr
Vida de Estrada,Diabo Na Cruz,Diabo na Cruz,4.71,35,spotify:track:40DQ91LALgjBAhVOgLK6pa
gervonta,Peso Pluma,gervonta,2.79,80,spotify:track:0hfXHqWhOpbR9YQmQojDMN
Responso à Mulher,A Cantadeira,Festival da Canção 2025,3.01,23,spotify:track:27tOFMFbjmo87rk8QPLQaI
Cantiga Infinita,Capitão Fausto,Subida Infinita,3.67,37,spotify:track:5egq7F3VGPWsCisW7eJi1e
Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),4.41,87,spotify:track:3d9DChrdc6BOeFsbrZ3Is0
Selfless,The Strokes,The New Abnormal,3.7,78,spotify:track:2t0wwvR15fc3K1ey8OiOaN
Nuvem Negra,Capitão Fausto,Subida Infinita,4.49,38,spotify:track:0IkQ1iK61h9KWOoy857ykR
Dream Job,Yard Act,Where’s My Utopia?,2.66,50,spotify:track:3u7PMsVBQ1viIm8tlhotl6
Favourite,Fontaines D.C.,Romance,4.27,73,spotify:track:27w0RH5IDt6xU3B2j7QOuy
Taro,alt-J,An Awesome Wave,5.25,56,spotify:track:4tmwiN9YU7xMjh2hoqcVuI
In The Modern World,Fontaines D.C.,Romance,4.45,67,spotify:track:3kQmcD1XU29nSMrS7kgsWm
Papel de Jornal,Ganso,Vice Versa,3.44,38,spotify:track:7euWfx28Ceepge349GwXIo
Starburster,Fontaines D.C.,Romance,3.69,77,spotify:track:09ttHg3ZNVgDlYBZa1ZBw0
Jackie Down The Line,Fontaines D.C.,Skinty Fia,4.02,70,spotify:track:1MoA0TNVdveasxnR6c2JqZ
Sofá,Mão Cabeça,Sofá,2.99,19,spotify:track:46rwJOv6AmbSOKxcrmLlQP
Teddy Picker,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),2.68,64,spotify:track:4OkPamOn5GofkOQu64Z4eR
Jungle,Tash Sultana,Notion,5.26,73,spotify:track:1KTObLMW9mwk2iPjP3daHb
Fetiche Fonético,Ganso,Vice Versa,4.49,42,spotify:track:3c2AvYrhaJOHWCrCopKG62
Me Maten - Live at NPR's Tiny Desk,C. Tangana,El Madrileño (La Sobremesa),4.04,58,spotify:track:2uFlBIfS4XKyOVPKiIrj5L
Fluorescent Adolescent,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),2.89,74,spotify:track:7e8utCy2JlSB8dRHKi49xM
I Love You,Fontaines D.C.,Skinty Fia,5.1,74,spotify:track:5XhMgAWzou6EjDmQtoyoZE
Calafrio,Jéssica Pina,Calafrio,3.04,21,spotify:track:128zrTVucBpi6AZyvlqXQr
Notion,Tash Sultana,Notion,5.68,65,spotify:track:6TLGmbTgp7hJ7jsDTTHRzw
Rosa Rubra,João Não,Terra-Mãe,3.43,24,spotify:track:4XJXUliz75NhMXKB0Ex0P1
Society,Eddie Vedder,Into The Wild (Music For The Motion Picture),3.94,71,spotify:track:3bHhUEOTIbezeZ856R0BX5
Malhão 3.0,Diabo Na Cruz,Lebre,3.82,30,spotify:track:6F1jfftzqMBEjALpACGMF2
Procissão,Diabo Na Cruz,Lebre,4.26,25,spotify:track:3EBfelBL4ol7k1z0cgYrfe
Something Good,alt-J,An Awesome Wave,3.62,59,spotify:track:3xqxETvPg43KWP0HOGiOmu
"Boulevard, 61",Nunca Mates o Mandarim,"Boulevard, 61",4.04,30,spotify:track:2RaLfVih3aEOdW3AWM0b6n
We Make Hits,Yard Act,Where’s My Utopia?,3.04,48,spotify:track:7mYTcajvGEU4LZeHQ8V5w2
Fitzpleasure,alt-J,An Awesome Wave,3.66,61,spotify:track:7DdXf9x75iEVCHWfoRwRuR
Vice Versa,Ganso,Vice Versa,3.21,33,spotify:track:32zpZSucRBESNL2nqgBYDC
Here's The Thing,Fontaines D.C.,Romance,2.72,65,spotify:track:4J4pysp2EFNhYibI8tIg0D
