artista,generos,seguidores,popularidade,uri
Plutonio,portuguese hip hop,747463,66,spotify:artist:39HJXjH5hKcCzaU0g6mv8G
Wet Bed Gang,portuguese hip hop,639366,58,spotify:artist:5jfz7uWPwf03hdEewW8AI8
Linkin Park,nu metal|rap metal|rock|alternative metal,30219210,91,spotify:artist:6XyY86QOPPrYVGvF9ch6wz
Richie Campbell,portuguese hip hop,321360,56,spotify:artist:2swvbEAfN70ZFcQB4Y7MaS
Slow J,portuguese hip hop,268579,60,spotify:artist:7crp1tZcefnjT5RuL6WZQ0
Arctic Monkeys,indie|garage rock,30461666,88,spotify:artist:7Ln80lUS6He07XvHI8qqHH
J. Cole,rap,26400639,86,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5
Metro Boomin,,11064560,87,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp
Mizzy Miles,portuguese hip hop|punta,87609,56,spotify:artist:0QoKkMC6uy7fUng96fab1I
Dillaz,portuguese hip hop|punta,406278,60,spotify:artist:15p1isN7VcGsjeSq8s9YeP
EU.CLIDES,portuguese hip hop,16299,38,spotify:artist:74CsbgI3oYJcNJM3ealhBY
Måneskin,,10378052,80,spotify:artist:0lAWpj5szCSwM4rUMHYmrr
Xutos & Pontapés,,356083,49,spotify:artist:1lQnDEcvFAWaUjbyZiHKih
Central Cee,uk drill|drill|uk grime|grime,8606920,83,spotify:artist:5H4yInM5zmHqpKIoMNAx4r
Bon Jovi,glam metal|rock,15158672,80,spotify:artist:58lV9VcRSjABbAbfWS6skp
Sam The Kid,portuguese hip hop,156830,51,spotify:artist:3NEQ5t2FprBMLmDAP0EPcE
U2,rock,13291078,79,spotify:artist:51Blml2LZPmy7TTiAg47vQ
Red Hot Chili Peppers,funk rock|alternative rock|rock,22592299,85,spotify:artist:0L8ExT028jH3ddEcZwqJJ5
Drake,rap,99072969,98,spotify:artist:3TVXtAsR1Inumwj472S9r4
Cassete Pirata,,12395,33,spotify:artist:2VQ14XaMYiXOr7lLePbZrf
Eminem,rap|hip hop,101222362,91,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR
Filipe Sambado,,7900,21,spotify:artist:4DBnj3zFrGcRiFME23yT0q
Miguel Luz,portuguese hip hop,35448,48,spotify:artist:1jE8NLRTyT22UKfZ8AGRDm
Diabo Na Cruz,,35304,32,spotify:artist:1904zsEXzR7s5xor9C0AA4
NAPA,,47909,62,spotify:artist:3BR3Qfra04DICDUB2BL3eu
Bryan Adams,,4442664,78,spotify:artist:3Z02hBLubJxuFJfhacLSDc
Two Door Cinema Club,indie,2528618,70,spotify:artist:536BYVgOnRky0xjsPT96zl
Pedro Mafama,fado,30494,36,spotify:artist:69ca2Xp6iQx8kzL4jXnrWk
Calvin Harris,edm,23156904,88,spotify:artist:7CajNmpbOovFoOoasH2HaY
Nunca Mates o Mandarim,,6091,32,spotify:artist:1mXzaPO6UaW47RaHKVJ1UZ
AC/DC,rock|hard rock|classic rock|rock and roll,31337707,83,spotify:artist:711MCceyCBcFnzjGY4Q7Un
Papillon,portuguese hip hop,87290,49,spotify:artist:0Mum6waR8P9WICLVTpSi1d
Fontaines D.C.,post-punk,950853,73,spotify:artist:3SXwqSqAoBz9WCI9PDQzY6
Ornatos Violeta,,108687,41,spotify:artist:4urt2xl0g8G7PMl5NXnGbu
Nirvana,grunge|rock,22329672,84,spotify:artist:6olE6TJLqED3rqDCT0FyPh
X-Tense,portuguese hip hop,55338,41,spotify:artist:7JajP35zM35gnAvTZbwxDF
Queen,classic rock|rock|glam rock,54050403,86,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d
Scorpions,hard rock|glam metal|rock,8195216,75,spotify:artist:27T030eWyCQRmDyuvr1kxY
Sandro G,portuguese hip hop,3501,22,spotify:artist:3Abv223wbAWqd2cyfldp7B
Guns N' Roses,rock|glam metal|hard rock|classic rock,33978679,82,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC
Ganso,,18173,39,spotify:artist:4wpd66S5iheFM5GJqauV4E
Gabriel O Pensador,brazilian hip hop|brazilian rock|mpb|brazilian pop,1674066,55,spotify:artist:5BWqFYIPTnFx3OPWOoJvmD
António Variações,fado,112061,39,spotify:artist:5fgtcrHICBqlrkHtSWWu0F
Bispo,portuguese hip hop,375581,60,spotify:artist:3LZCMaZWwvhYyQeEfWgVdY
T-Rex,portuguese hip hop|punta,627056,57,spotify:artist:6QHREBOQktWsYBfrxW93rk
Ivandro,portuguese hip hop|kizomba|zouk,463771,57,spotify:artist:1pPbDeOdNUcLq32HTTLbZm
JAY-Z,hip hop|east coast hip hop|rap,10072666,85,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB
VALE,portuguese hip hop,147,1,spotify:artist:1zBe6fC6su0Z6xEwXYDPbk
OneRepublic,soft pop,18322812,85,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ
Dino d'Santiago,portuguese hip hop|kizomba,62943,45,spotify:artist:7qb2GMJaX4HeXqqPPyYdlr
