musica,artista,album,duracao_min,popularidade,uri
FDP,Plutonio,Carta de Alforria,3.03,54,spotify:track:2XqznQosAqM7khgOKLlotw
Champions League (feat. Slow J & Gson),Mizzy Miles,FIM DO NADA,2.68,60,spotify:track:1kJml4AvYDxIMcJVt7nYlL
Já Entendi,Papillon,Já Entendi,2.61,47,spotify:track:7FLWucanZJBBCLeWNRDTv9
Tal e Qual,Plutonio,Carta de Alforria,2.98,53,spotify:track:35JnGLuFh6oMY7oV0e1SjY
6am Em Paris,Plutonio,Carta de Alforria,2.39,52,spotify:track:4h28q7QSDbmiTKw9ziSujA
Red Right Hand,Arctic Monkeys,Crying Lightning,4.33,50,spotify:track:0R194013qdfjeFiap76Nzs
Summer Of '69,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),3.6,86,spotify:track:0GONea6G2XdnHWjNZd6zt3
"BABY, TU...",VALE,"BABY, TU...",3.41,6,spotify:track:5N8KNini94ZtVdEYRajo4T
Insomnia,Richie Campbell,Insomnia,3.13,57,spotify:track:2V8ZoOYTqoYN9g4HZiMyng
Laurinda,Karetus,Laurinda,3.13,44,spotify:track:3drskGBsZCSm5r2t16a29G
Ainda Temos a Lua,VALE,Ainda Temos a Lua,3.77,3,spotify:track:61dUvJahoYsIWRlOAMUpSm
Tempo Torto,Branko,Tempo Torto,3.06,33,spotify:track:60z6QyxtPqMrWG0fxMvpPv
País das Maravilhas,Plutonio,Carta de Alforria,4.09,61,spotify:track:0qGRWcPOMkkt7edm4wMVRf
Casa Melhor,Plutonio,Carta de Alforria,2.98,57,spotify:track:0vfN1RYc1aDmf46CpE7EsC
Interestelar,Plutonio,Carta de Alforria,3.14,68,spotify:track:12j1Mq9Of1xfONYvGzhayD
Estrada (feat. Slow J & ProfJam),Mizzy Miles,FIM DO NADA,3.95,56,spotify:track:7EUmkQTk9tt93C5J746OzL
Como 1 Rei,Plutonio,Carta de Alforria,3.19,52,spotify:track:0gp9v2rrbNE3BN5OAcYLhi
