artista,generos,seguidores,popularidade,uri
PARTYNEXTDOOR,dark r&b|r&b|trap soul,9118717,87,spotify:artist:2HPaUgqeutzr3jx5a9WyDV
Drake,rap,98885907,97,spotify:artist:3TVXtAsR1Inumwj472S9r4
Brent Faiyaz,r&b,7461536,83,spotify:artist:3tlXnStJ1fFhdScmQeLpuG
Don Toliver,,6745100,87,spotify:artist:4Gso3d4CscCijv0lmajZWs
Bryson Tiller,trap soul|r&b,10065547,82,spotify:artist:2EMAnMvWE2eb56ToJVfCWs
Summer Walker,r&b,7653506,80,spotify:artist:57LYzLEk2LcFghVwuWbcuS
LON3R JOHNY,portuguese hip hop|punta,126411,55,spotify:artist:1fV7Au7ymGP3uhDV1TfjSd
Tory Lanez,,7806588,82,spotify:artist:2jku7tDXc6XoB6MO2hFuqg
Lil Tecca,melodic rap|rap,9453625,84,spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo
Isaiah Falls,dark r&b,114180,63,spotify:artist:0ocxWXtgr9tJW60xV5ZufT
Odeal,afroswing|alté|uk r&b|afro r&b|afrobeats|afrobeat|afro soul,225701,66,spotify:artist:2BPwxhCvvcb8xDl8GWIjbh
Chase Shakur,dark r&b,258885,59,spotify:artist:1gW1Q6W7d3a9dDXk1KlbG8
Trippie Redd,melodic rap,10598106,81,spotify:artist:6Xgp2XMz1fhVYe7i6yNAax
The Weeknd,,105641915,96,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
Avenoir,dark r&b|alternative r&b|r&b,383216,66,spotify:artist:3Z7onAknzpinUu3KtmgeZb
Gunna,melodic rap,9534264,87,spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ
B I L L Y G,kuduro|afro house,8166,40,spotify:artist:2Mpw0nGvpyFqhdqdhNPFsg
GIVĒON,r&b,4759919,79,spotify:artist:4fxd5Ee7UefO4CUXgwJ7IP
Wizkid,afrobeats|afrobeat|afropop|azonto|afroswing|afro r&b|afropiano,8053672,81,spotify:artist:3tVQdUvClmAT7URs9V3rsp
Black Spygo,kizomba|kuduro|zouk,160304,45,spotify:artist:2A0VfJYVYzMd2EzexuHvjY
Tems,afrobeats|afro r&b|alté|afrobeat,3158245,77,spotify:artist:687cZJR45JO7jhk1LHIbgq
Knucks,uk drill|grime|uk grime|drill,480884,64,spotify:artist:6W4vm8P3JFQboO4cvHeqaa
Future,rap,21525261,92,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i
Merveille,french r&b,194373,61,spotify:artist:6a4YQ8ebVHffAYNkHn9nc8
Fallon,shatta|french r&b,18547,43,spotify:artist:4KnnkSpgIiaRMmXO8qq18I
Travis Scott,rap,38906411,93,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
Dolce,kizomba,39299,42,spotify:artist:2XGXbQFvAcvkqXYATSNO4P
DESTIN CONRAD,alternative r&b,185486,61,spotify:artist:4jwROPSUkTkohLCRiyjiZZ
Hamza,french rap|pop urbaine|french r&b,1581304,76,spotify:artist:5gs4Sm2WQUkcGeikMcVHbh
Djodje,kizomba|zouk|kuduro|kompa,267118,52,spotify:artist:62huveC2Mmi9nfW0ySqNwo
Sonder,dark r&b,1814051,73,spotify:artist:2ICR2m4hOBPhaYiZB3rnLW
SZA,r&b,30164747,93,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP
Miguel KR,,4407,27,spotify:artist:1MLFFmcB0PjMZ95bO1612G
H.E.R.,r&b,8435177,76,spotify:artist:3Y7RZ31TRPVadSFVy1o8os
Karri,dark r&b,97086,55,spotify:artist:6EYGGkM2JDpX5CjHpGkiME
PinkPantheress,bedroom pop,4200394,81,spotify:artist:78rUTD7y6Cy67W1RVzYs7t
Metro Boomin,,11032072,87,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp
Daniel Caesar,,9440061,85,spotify:artist:20wkVLutqVOYrc0kxFs7rA
4batz,,648758,65,spotify:artist:5fi7lIgJGH3RgUpJYcffQ7
JayO,afrobeats|afroswing|afro r&b|alté|uk r&b|afrobeat,88401,53,spotify:artist:1IMENE2OCzsrXuu62aW1mD
Plutonio,portuguese hip hop,740683,66,spotify:artist:39HJXjH5hKcCzaU0g6mv8G
Maz B,dark r&b,22095,52,spotify:artist:7dmwSItAEr4EhkUH5C9aXH
Leon Thomas,,536032,76,spotify:artist:0nnBZ8FXWjG9wZgM2cpfeb
21 Savage,,22695743,88,spotify:artist:1URnnhqYAYcrqrcwql10ft
Nobu Woods,dark r&b|trap soul,106439,57,spotify:artist:5ALcXwMBh6MxbInMWmHElC
T-Rex,portuguese hip hop|punta,624380,57,spotify:artist:6QHREBOQktWsYBfrxW93rk
melvitto,afrobeats|alté|afrobeat|afro r&b|afroswing|afropop|afro soul,195185,64,spotify:artist:4Xj0nxVO4r7PLEaw7LRiBa
June Freedom,afrobeats|kizomba|afrobeat|afro r&b|afropop,58585,57,spotify:artist:7dYb5EKtRnRaWM0GQ12cKC
Bryant Barnes,,497630,65,spotify:artist:1URGXPcURc0aQzLeph65nK
Steve Lacy,,5995202,81,spotify:artist:57vWImR43h4CaDao012Ofp
