musica,artista,album,duracao_min,popularidade,uri
SOMETHING ABOUT YOU,PARTYNEXTDOOR,$ome $exy $ongs 4 U,3.64,79,spotify:track:1F6nHHDJyTHLgDDFj1ZZDt
SPIDER-MAN SUPERMAN,PARTYNEXTDOOR,$ome $exy $ongs 4 U,3.4,75,spotify:track:4GqhG9rDuRUoNyDSMJ0Brq
DIE TRYING,PARTYNEXTDOOR,$ome $exy $ongs 4 U,3.26,87,spotify:track:0NUqi0ps17YpLUC3kgsZq0
MHMM (with RIMON),Chase Shakur,WONDERLOVE,4.3,61,spotify:track:5MDbtupR6oy8loU6Njp8jf
DEEPER,PARTYNEXTDOOR,$ome $exy $ongs 4 U,2.87,76,spotify:track:4JeD0FGslDsMeeahEGZa2L
Normal,Fallon,Normal,2.84,58,spotify:track:4gGxBFqh6tZWktF9h9HWlU
festa bem louca,pikika,festa bem louca,3.14,38,spotify:track:46lo7mHkfFQpd3i6C6FPDS
MEET YOUR PADRE,PARTYNEXTDOOR,$ome $exy $ongs 4 U,4.52,56,spotify:track:6IcD1PElC3dJof2jY3n3Yt
NOKIA,Drake,$ome $exy $ongs 4 U,4.02,94,spotify:track:2u9S9JJ6hTZS3Vf22HOZKg
MOTH BALLS,PARTYNEXTDOOR,$ome $exy $ongs 4 U,3.54,74,spotify:track:7DL2F2bueQycqYjqsjHYjG
SOMEBODY LOVES ME,PARTYNEXTDOOR,$ome $exy $ongs 4 U,3.05,82,spotify:track:2kZoOj1n5vk9BuF0sih58M
CRYING IN CHANEL,Drake,$ome $exy $ongs 4 U,3.33,72,spotify:track:5aIEFCKhVUM5sKkwOSdFiM
PIMMIE'S DILEMMA,Pimmie,$ome $exy $ongs 4 U,1.97,68,spotify:track:4cwyp1aL1q3LfGCteqe8tL
"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",A$AP Ferg,Floor Seats,3.72,81,spotify:track:5oady7OSE7dH7LHiqmb3Cr
GIMME A HUG,Drake,$ome $exy $ongs 4 U,3.22,79,spotify:track:5Nz7hI3cCOHmMR4vSLJ1An
CELIBACY,PARTYNEXTDOOR,$ome $exy $ongs 4 U,3.93,70,spotify:track:578CwfxpfH2HxlENOCHc2n
ANTI$$OCIAL,LON3R JOHNY,ANTI$$OCIAL,3.24,53,spotify:track:6Su25sW12rzNjK3b3yLt9r
RAINING IN HOUSTON,Drake,$ome $exy $ongs 4 U,4.08,73,spotify:track:2xxb5zW09uwbgyLprALi9E
Bad For You (feat. Jazmine Sullivan),Wizkid,Morayo,2.85,68,spotify:track:3Ae97zTfGTtJzDfmCweNn8
PIÑA COLADA,LON3R JOHNY,PIÑA COLADA,3.37,57,spotify:track:4r4PT8ztky9NfGINelXcxM
Deep,Summer Walker,Last Day Of Summer,1.53,73,spotify:track:3LfHBTYZBTqmz43tvVXJBd
LASERS,PARTYNEXTDOOR,$ome $exy $ongs 4 U,3.31,70,spotify:track:2vjFTjmvpFjFM01cNdG2ik
Free Fall (feat. J. Cole),Tems,Born in the Wild,3.2,68,spotify:track:3cuUZnjDwk4cUJCFinYbAC
Sorrows,Bryson Tiller,A N N I V E R S A R Y,3.23,80,spotify:track:5TXQCMKN6TgemTL3c4wRTn
SMALL TOWN FAME,Drake,$ome $exy $ongs 4 U,2.48,73,spotify:track:1YHQQFtKqFSFrqL4cNvstU
GREEDY,PARTYNEXTDOOR,$ome $exy $ongs 4 U,6.44,64,spotify:track:2WNUYpLeOSMSlWgOmgGURl
Mapa Cor de Rosa,Plutonio,Carta de Alforria,3.44,55,spotify:track:4UzqpJRQcimoTGzD1uSqj2
Whatever She Wants,Bryson Tiller,Whatever She Wants,2.69,81,spotify:track:57wp7VFnV8X0pSVnYArGeJ
OMW,PARTYNEXTDOOR,$ome $exy $ongs 4 U,3.88,70,spotify:track:775a936b2Vzl3fw86FaVat
Poison,Brent Faiyaz,Poison,3.55,80,spotify:track:5NijSs5dAwaIybq1GaRTIe
Y.D.L.R.,Tory Lanez,PLAYBOY,2.43,70,spotify:track:0ZHLqpysyyJil6TlEJAZY9
Best Time,Brent Faiyaz,Larger Than Life,1.38,79,spotify:track:1zgHn1EqUyA0HqNYMdJ5ia
N.A.M.E,Bousmara Division N°1,Playoffs 2024,4.84,58,spotify:track:4WhAvHKAOkmPVTQDlG1dIX
UH LA LA LA,LON3R JOHNY,ANTI$$OCIAL,3.0,57,spotify:track:1A6tib5hSqCJAMSBRkNV55
DIVA,Isaiah Falls,Drugs n' Lullabies,2.61,49,spotify:track:2Im7LIouMVQppcmPay1iBA
Bus Stop (feat. Brent Faiyaz),Don Toliver,Love Sick,3.95,67,spotify:track:2k3IJR9hf34ZfEnTdlcoSK
BRIAN STEEL,Drake,$ome $exy $ongs 4 U,1.86,71,spotify:track:3FHO87BSOEVAsedSnCTnvz
DINAMITE,LON3R JOHNY,LONDON LP,2.65,47,spotify:track:5QFz3c9kGLZ8LKLl7w1fpC
