musica,artista,album,duracao_min,popularidade,uri
Brutos Diamantes,SYRO,11 11,2.94,54,spotify:track:0Mt4MqKdU2Z5wcBE9vybbi
Anos Luz,Matuê,Anos Luz,4.4,73,spotify:track:0GYPcKDlsb8WEtJkkKdtgH
Bênção (feat. Van Zee & Bispo),Mizzy Miles,FIM DO NADA,3.43,58,spotify:track:5VOhg3dqCqRGWwKXF6DLLW
Vai,Calema,A.N.V.,5.37,47,spotify:track:0UMENt5lQEav4Nl081rUtG
País das Maravilhas,Plutonio,Carta de Alforria,4.09,61,spotify:track:0qGRWcPOMkkt7edm4wMVRf
À Deriva,Catarina Castanhas,À Deriva,3.64,39,spotify:track:7sxMXCN9g9C9aozCtghq7D
Ngozi,Crayon,Trench to Triumph,3.69,68,spotify:track:5mhM7bfzv52bzfCzlq8vH1
Interestelar,Plutonio,Carta de Alforria,3.14,68,spotify:track:12j1Mq9Of1xfONYvGzhayD
6am Em Paris,Plutonio,Carta de Alforria,2.39,52,spotify:track:4h28q7QSDbmiTKw9ziSujA
casa,Fernando Daniel,V.H.S (vol.1),3.44,55,spotify:track:53gXl8SihJLcFeC2D8g6ry
Multiplica,Plutonio,Carta de Alforria,3.15,51,spotify:track:6MHo8PlORvq1btc03EdwMH
On The Low,Burna Boy,African Giant,3.1,64,spotify:track:25MPSH5b95vAZgyQq9lt4M
Deja Vu,Plutonio,Carta de Alforria,3.39,61,spotify:track:4VhSwcMCrXQgEfwls3s46o
Do You No Wrong,Richie Campbell,Lisboa,4.05,56,spotify:track:6FInCuMbSlhdlkiFv36KUi
Dor de Amar,SYRO,11 11,3.21,38,spotify:track:18xnUONbb9yj6LLIVVnbk3
CorDaPele,Slow J,Afro Fado,2.98,53,spotify:track:2Vhdvxsjs24nQLaUn6oWcp
Contra Probabilidades,Bispo,Contra Probabilidades,3.38,59,spotify:track:5nYYQ85x9DwEiEpETQNlNC
Tempo,Catarina Castanhas,Tempo,3.09,21,spotify:track:6FphCxh9LXRCiChMwuxytM
Amor De Ganga,Miguel Luz,Ganga Com Ganga,3.45,54,spotify:track:7IPUNxs3vUvunfEFxRTGzS
Imagina,Nuno Ribeiro,Falar De Nós,2.73,49,spotify:track:5ue1c7Bk2OoDDYsK1VQrln
You Know,kaako,You Know,2.6,35,spotify:track:7MSEgFoBIpFNfTPecvUajK
Abraços,Calema,Yellow,3.6,46,spotify:track:7uD51vdmt2Rhx6rnnFztLJ
Como 1 Rei,Plutonio,Carta de Alforria,3.19,52,spotify:track:0gp9v2rrbNE3BN5OAcYLhi
Ohnana,Kapo,Ohnana,2.61,83,spotify:track:1fTjqf10accJCDYstPwwZ6
BKBN,Soraia Ramos,COCKTAIL,2.98,43,spotify:track:23uHw2yIL9c4x6pS5wl09U
Tu Não Mentes,Soraia Tavares,Tu Não Mentes,3.27,32,spotify:track:78Ro3C8B7Af9JEYrWeL1AU
Amar Pela Metade,Calema,Voyage (Part III),3.12,63,spotify:track:1UQvRmRhbX3WxSLW3NbUIU
