artista,generos,seguidores,popularidade,uri
U2,rock,13291078,79,spotify:artist:51Blml2LZPmy7TTiAg47vQ
Linkin Park,nu metal|rap metal|rock|alternative metal,30219210,91,spotify:artist:6XyY86QOPPrYVGvF9ch6wz
Maroon 5,pop,45004280,88,spotify:artist:04gDigrS5kc9YWfZHwBETP
The Script,,8643281,79,spotify:artist:3AQRLZ9PuTAozP28Skbq8V
The Offspring,punk|skate punk,6347332,79,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ
Coldplay,,58630186,91,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU
Imagine Dragons,,57389920,88,spotify:artist:53XhwfbYqKCa1cC15pYq2q
Guns N' Roses,rock|glam metal|hard rock|classic rock,33978679,82,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC
Stephen R. Covey,,18218,42,spotify:artist:1nzB6VB5fVrA6Mf9Mh8zY7
Xutos & Pontapés,,356083,49,spotify:artist:1lQnDEcvFAWaUjbyZiHKih
R.E.M.,jangle pop|alternative rock|rock,5152600,75,spotify:artist:4KWTAlx2RvbpseOGMEmROg
Bon Jovi,glam metal|rock,15158672,80,spotify:artist:58lV9VcRSjABbAbfWS6skp
AC/DC,rock|hard rock|classic rock|rock and roll,31337707,83,spotify:artist:711MCceyCBcFnzjGY4Q7Un
Muse,alternative rock|rock,8290453,78,spotify:artist:12Chz98pHFMPJEknJQMWvI
Metallica,metal|thrash metal|rock|heavy metal|hard rock,30883684,85,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB
Green Day,punk|pop punk,16714243,84,spotify:artist:7oPftvlwr6VrsViSDV7fJY
Red Hot Chili Peppers,funk rock|alternative rock|rock,22592299,85,spotify:artist:0L8ExT028jH3ddEcZwqJJ5
Nirvana,grunge|rock,22329672,84,spotify:artist:6olE6TJLqED3rqDCT0FyPh
David Guetta,edm|dance,27083054,90,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
Keane,,3790258,76,spotify:artist:53A0W3U0s8diEn9RhXQhVz
Foo Fighters,rock|post-grunge|alternative rock|grunge,12640808,78,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD
Thirty Seconds To Mars,,3840863,70,spotify:artist:0RqtSIYZmd4fiBKVFqyIqD
OneRepublic,soft pop,18322812,85,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ
D.A.M.A,,405635,51,spotify:artist:4h5zTnUibCdGWia43hOo5y
Amor Electro,fado,74520,33,spotify:artist:0N4dP9aN5gm8AOo1qri3RB
Scorpions,hard rock|glam metal|rock,8195216,75,spotify:artist:27T030eWyCQRmDyuvr1kxY
Def Leppard,glam metal|glam rock|classic rock,5470661,72,spotify:artist:6H1RjVyNruCmrBEWRbD0VZ
Bárbara Tinoco,portuguese hip hop,312330,52,spotify:artist:10okQWuBo3LEA8HSZ1VUMT
Bryan Adams,,4442664,78,spotify:artist:3Z02hBLubJxuFJfhacLSDc
Tears For Fears,new wave|synthpop,3913004,76,spotify:artist:4bthk9UfsYUYdcFyqxmSUU
Banda Go Home,brazilian rock,19237,52,spotify:artist:55xvUppAG19F1CErLfAvZI
The Rolling Stones,classic rock|rock,15323384,80,spotify:artist:22bE4uQ6baNwSHPVcDxLCe
The Killers,alternative rock,7834907,79,spotify:artist:0C0XlULifJtAgn6ZNCW2eu
Lenny Kravitz,,3527964,74,spotify:artist:5gznATMVO85ZcLTkE9ULU7
The Verve,britpop|shoegaze,2614711,71,spotify:artist:2cGwlqi3k18jFpUyTrsR84
Phil Collins,soft rock,6907228,79,spotify:artist:4lxfqrEsLX6N1N4OCSkILp
INXS,,2964216,71,spotify:artist:1eClJfHLoDI4rZe5HxzBFv
Pearl Jam,grunge|rock|post-grunge,9631967,78,spotify:artist:1w5Kfo2jwwIPruYS2UWh56
Oasis,britpop|madchester|rock,11626843,80,spotify:artist:2DaxqgrOhkeH0fpeiQq2f4
The Police,,7171797,79,spotify:artist:5NGO30tJxFlKixkPSgXcFE
Os Quatro e Meia,,180392,52,spotify:artist:4pHDBbJMWvniiMjrhi2rfE
GNR,fado,104378,45,spotify:artist:6zo2w5Asb1DMFZErdRDrrK
Da Weasel,portuguese hip hop,119381,44,spotify:artist:71SuRO9s3mJNnwAlw7TD7l
The Cranberries,,5084344,78,spotify:artist:7t0rwkOPGlDPEhaOcVtOt9
Robin Schulz,tropical house,3230639,80,spotify:artist:3t5xRXzsuZmMDkQzgOX35S
Journey,aor|classic rock,6229722,77,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt
Survivor,,1325896,70,spotify:artist:26bcq2nyj5GB7uRr558iQg
Galantis,,3446073,71,spotify:artist:4sTQVOfp9vEMCemLw50sbu
Nasso Graton,,248,15,spotify:artist:6lHdSlTeXhabWxLxBzL7Em
Travis,britpop,1138762,62,spotify:artist:3bUwxJgNakzYKkqAVgZLlh
