musica,artista,album,duracao_min,popularidade,uri
Love Is All We Have Left,U2,Songs Of Experience (Deluxe Edition),2.69,42,spotify:track:20mcsmFnundXAD0T2DPWiW
The Miracle (Of Joey Ramone),U2,Songs Of Innocence (Deluxe),4.26,45,spotify:track:4sEKv3Ofgz8f1Z80WVenRR
Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,5.93,90,spotify:track:7snQQk1zcKl8gZ92AnueZW
The Emptiness Machine,Linkin Park,From Zero,3.17,85,spotify:track:1EDPVGbyPKJPeGqATwXZvN
Over Each Other,Linkin Park,From Zero,2.84,75,spotify:track:3k4gjmYNJugQRlh2aounZ9
Nothing Else Matters - Remastered 2021,Metallica,Metallica (Remastered Deluxe Box Set),6.48,84,spotify:track:6QAsrXPnMSXIbV0yEJHlEX
Welcome To The Jungle,Guns N' Roses,Appetite For Destruction,4.56,86,spotify:track:0G21yYKMZoHa30cYVi1iA8
Zoo Station,U2,Achtung Baby (Deluxe Edition),4.6,48,spotify:track:01E97908af7cRmFC9XXekH
Paradise City,Guns N' Roses,Appetite For Destruction,6.76,84,spotify:track:6eN1f9KNmiWEhpE2RhQqB5
The Kids Aren't Alright,The Offspring,Americana,3.0,85,spotify:track:4EchqUKQ3qAQuRNKmeIpnf
Every Breaking Wave,U2,Songs Of Innocence (Deluxe),4.2,62,spotify:track:4z5eLUR8oCbRywMw1ytNol
"You're Gonna Go Far, Kid",The Offspring,"Rise And Fall, Rage And Grace",2.96,84,spotify:track:6TfBA04WJ3X1d1wXhaCFVT
Beautiful Day,U2,All That You Can't Leave Behind,4.14,76,spotify:track:0gzqZ9d1jIKo9psEIthwXe
Come Out and Play,The Offspring,Smash,3.3,76,spotify:track:5JJDu0Z5DKe7mR31MGksSg
Let The Bad Times Roll,The Offspring,Let The Bad Times Roll (Deluxe Edition),3.31,65,spotify:track:0O2UONKvVfdwDyefKh5Yo1
Bad Habit,The Offspring,Smash,3.73,64,spotify:track:5tFzUj1jV09bo4wBQWSbDl
Song For Someone,U2,Songs Of Innocence (Deluxe),3.78,55,spotify:track:47dKd4opEgipcKYEQm4CX4
(I Can't Get No) Satisfaction - Mono,The Rolling Stones,Out Of Our Heads,3.71,80,spotify:track:2PzU4IB8Dr6mxV3lHuaG34
California (There Is No End To Love),U2,Songs Of Innocence,4.0,44,spotify:track:5o0iUgoa6t7cHWIZfqnKNh
Master Of Puppets,Metallica,Master Of Puppets (Remastered),8.59,81,spotify:track:2MuWTIM3b0YEAskbeeFE1i
Book Of Your Heart,U2,Songs Of Experience (Deluxe Edition),3.92,37,spotify:track:0SeZv0QBimtX1BUbzmmTyO
Enter Sandman - Remastered 2021,Metallica,Metallica (Remastered Deluxe Box Set),5.53,85,spotify:track:3DwQ7AH3xGD9h65ezslm6q
Heavy Is the Crown,Linkin Park,From Zero,2.78,82,spotify:track:2HBBM75Xv3o2Mqdyh1NcM0
The Unforgiven - Remastered 2021,Metallica,Metallica (Remastered 2021),6.45,77,spotify:track:5lqyqPU3JkpCbUbLmTVQPW
Highway to Hell,AC/DC,Highway to Hell,3.47,87,spotify:track:2zYzyRzz6pRmhPzyfMEC8s
Even Better Than The Real Thing,U2,Achtung Baby (Deluxe Edition),3.69,56,spotify:track:4bK2vKMdkS0rNhbzRqAZe0
Thunderstruck,AC/DC,The Razors Edge,4.88,88,spotify:track:57bgtoPSgt236HzfBOd8kj
Back In Black,AC/DC,Back In Black,4.26,87,spotify:track:08mG3Y1vljYA6bvDt4Wqkj
The Future Is Now,The Offspring,Days Go By,4.14,57,spotify:track:2B17416FS7vL5qljgqfm7L
You’re The Best Thing About Me,U2,Songs Of Experience (Deluxe Edition),3.76,55,spotify:track:2dhJM2skHC9D41gHj34Kgw
Lights Of Home,U2,Songs Of Experience (Deluxe Edition),4.28,44,spotify:track:2pguQFntKxYZNGvXvZVWDp
One,U2,Achtung Baby (Deluxe Edition),4.6,78,spotify:track:3G69vJMWsX6ZohTykad2AU
Rock N Roll Train,AC/DC,Black Ice,4.36,73,spotify:track:4feXJ5IC3avXsVW9WNFSag
Until The End Of The World,U2,Achtung Baby (Deluxe Edition),4.64,55,spotify:track:4iiX7axMHcc76BGM0QJEY5
Red Flag Day,U2,Songs Of Experience (Deluxe Edition),3.33,41,spotify:track:5EUCP8FTOGYUBqaYaYVpmm
Tryin' To Throw Your Arms Around The World,U2,Achtung Baby (Deluxe Edition),3.88,45,spotify:track:5JZZtxJNwImgPCvLXfu0PU
"Paint It, Black",The Rolling Stones,Aftermath,3.37,85,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8
Iris (Hold Me Close),U2,Songs Of Innocence,5.32,45,spotify:track:7kbQE1Xbyf7kvcn4DVICiR
Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),5.5,87,spotify:track:48UPSzbZjgc449aqz8bxox
Bad Liar,Imagine Dragons,Origins (Deluxe),4.35,83,spotify:track:2RSHsoi04658QL5xgQVov3
Believer,Imagine Dragons,Evolve,3.41,90,spotify:track:0pqnGHJpmpxLKifKRmU6WP
Get Out Of Your Own Way,U2,Songs Of Experience (Deluxe Edition),3.97,48,spotify:track:4nXYb4yc3c1a3NWqdpDrnd
Smoke On The Water - Remastered 2012,Deep Purple,Machine Head (Remastered),5.68,76,spotify:track:5MMnwYs0hIxkENRsbkWJ2G
In the End,Linkin Park,Hybrid Theory (Bonus Edition),3.61,91,spotify:track:60a0Rd6pjrkxjPbaKzXjfq
Livin' On A Prayer,Bon Jovi,Slippery When Wet (Deluxe Edition),4.17,81,spotify:track:0ee1DiZF94NSqqpG0XHUzH
Maps,Maroon 5,V,3.17,86,spotify:track:4gbVRS8gloEluzf0GzDOFc
Ordinary Love - Extraordinary Mix,U2,Songs Of Experience (Deluxe Edition),3.79,59,spotify:track:5K8cyMKcnG4rx5ocW3u7OW
You Give Love A Bad Name,Bon Jovi,Slippery When Wet (Deluxe Edition),3.71,79,spotify:track:2TofEeQobQ9YoK7EFds698
Landlady,U2,Songs Of Experience (Deluxe Edition),4.02,44,spotify:track:04yNTogtZSbl40k7GVvLuO
13 (There is A Light),U2,Songs Of Experience (Deluxe Edition),4.33,42,spotify:track:1I1wo7OASJIaQ9EgOrW9Dw
